fluid,L_m,v0_m_s,U_W_m2K,status,dp_Pa,dp_fraction,q0,qref,q1,q2,heat_ref,cp0_error,cp1_error,table_error,frozen_error,one_error,two_error,gated_error,flow_one_error,outlet_ref_K,vapor_in,vapor_out,one_self_mismatch,refinement_error,energy_residual,one_cpu_us,reference_cpu_us,reference_evals,detail
water-cooling,10.0,1.0,2.0,OK,2052.6596097647202,0.006842198699215734,1.8979701704044414,1.897967325671463,1.8979662483704067,1.897966248356294,188.45843196018683,2.4816872568376134E-9,2.1658990179046873E-9,1.620097163172686E-7,1.617167731637025E-7,1.6212414986405046E-7,1.6212220620471228E-7,1.617167731637025E-7,5.676077990338285E-7,359.97636560725266,0.0,0.0,4.0737676639356545E-10,NaN,1.8037065063200997E-12,0.0,0.0,43,
water-cooling,10.0,1.0,15.0,OK,2052.6596097647202,0.006842198699215734,1.8979701704044414,1.8979488391071704,1.8979407963069632,1.8979407958509533,1411.6300406288565,2.324642873842593E-8,5.726027244097027E-9,1.2099255285009104E-6,1.1933150419182895E-6,1.216188569496206E-6,1.2161884190552216E-6,1.1933150419182895E-6,4.237627506833994E-6,359.8229654489259,0.0,0.0,2.287355539647309E-8,NaN,8.295203551622088E-14,0.0,0.0,43,
water-cooling,10.0,1.0,60.0,OK,2052.6596097647202,0.006842198699215734,1.8979701704044414,1.8978839082198937,1.8978532409098805,1.8978532337497842,5621.576279982586,3.230248694743464E-7,1.567335192666766E-7,4.602528579399547E-6,4.334230111980691E-6,4.697917970321345E-6,4.697940175669293E-6,4.334230111980691E-6,1.6158685934581592E-5,359.29492398200733,0.0,0.0,3.636895669244066E-7,NaN,5.824338486603901E-14,0.0,0.0,43,
water-cooling,10.0,3.0,2.0,SCREENED_DP,17387.847503776065,0.05795949167925355
water-cooling,10.0,3.0,15.0,SCREENED_DP,17387.847503776065,0.05795949167925355
water-cooling,10.0,3.0,60.0,SCREENED_DP,17387.847503776065,0.05795949167925355
water-cooling,50.0,0.002,2.0,OK,0.4170913505330582,1.3903045017768607E-6,0.003795940340808883,0.002547117619953028,0.0028349201645138746,0.0026216212816105398,493.2426555292057,0.0018014257571578424,2.616165297741736E-4,5.197477450559628E-6,0.21412485517773686,0.05965286583529085,0.01617489115788788,0.05965286583529085,0.11299146231266467,313.73841921614445,0.0,0.0,0.14577603130500724,NaN,6.525400875836082E-16,0.0,15625.0,43,
water-cooling,50.0,0.002,15.0,OK,0.4170913505330582,1.3903045017768607E-6,0.003795940340808883,0.0015692197779614836,0.0016877352421980638,0.0015687346646082265,393.9650894636815,0.004072656963694424,2.5813022561439914E-10,6.287944226186304E-11,1.417557680795708,0.07552504660587395,3.0914287732276927E-4,0.07552504660587395,0.07552508953878935,300.0000009526518,0.0,0.0,1.2477930090284746,NaN,4.0246042143381653E-16,0.0,31250.0,43,
water-cooling,50.0,0.002,60.0,OK,0.4170913505330582,1.3903045017768607E-6,0.003795940340808883,0.0015099292440101035,0.0015263220128580415,0.0014945889369198974,379.07973598786083,0.004072658461772596,1.499510880281617E-16,0.0,1.5139855763883754,0.010856647033606578,0.010159619830572293,0.010856647033606578,0.010856647033606545,300.0,0.0,0.0,1.486985255293866,NaN,4.450218192704128E-16,0.0,31250.0,43,
water-cooling,50.0,0.02,2.0,OK,6.373753435918813,2.1245844786396043E-5,0.037959403408088836,0.03841469685641413,0.03843596104976712,0.038430553599749284,898.0473691974508,2.0562802210456047E-5,9.504216527444103E-6,1.9415978426506003E-5,5.938704149162843E-4,7.091609280991338E-6,3.534643492925247E-7,5.938704149162843E-4,5.535431773018379E-4,354.4321589762219,0.0,0.0,6.0095776243963E-4,NaN,8.355102789305618E-15,0.0,0.0,43,
water-cooling,50.0,0.02,15.0,OK,6.373753435918813,2.1245844786396043E-5,0.037959403408088836,0.0397452071243865,0.03973922452250787,0.03975839080673314,5067.603382705716,6.875052682120007E-4,1.9059526485986196E-4,1.1023302620164971E-5,0.014567652779110377,5.808802895080636E-5,9.265286058272717E-5,0.014567652779110377,1.5052385712593548E-4,329.56636181886176,0.0,0.0,0.014510407631138136,NaN,1.2563794496830079E-15,0.0,15625.0,43,
water-cooling,50.0,0.02,60.0,OK,6.373753435918813,2.1245844786396043E-5,0.037959403408088836,0.02927379727207287,0.031278282707057396,0.02966644285404422,7193.241706277967,0.003635947173963929,7.248603148367004E-5,4.776897684190848E-6,0.2569058895764411,0.06198534600388878,0.012267202563741102,0.06198534600388878,0.06847370760802536,301.2762488761501,0.0,0.0,0.18354353410431953,NaN,2.381151298400749E-16,0.0,15625.0,43,
water-cooling,50.0,0.2,2.0,OK,501.2885687952669,0.001670961895984223,0.3795940340808883,0.3795100940454118,0.37949957836412895,0.37949955497518856,937.8503152244477,2.2515259438199927E-7,1.0788459110687722E-7,3.881547778788692E-6,2.7931807559084394E-6,4.0179280104988785E-6,4.018231327631539E-6,2.7931807559084394E-6,2.7708568093037042E-5,359.411763771793,0.0,0.0,1.2247521755565112E-6,3.4368276396769895E-9,2.860819159366438E-14,0.0,0.0,43,
water-cooling,50.0,0.2,15.0,OK,501.2885687952669,0.001670961895984223,0.3795940340808883,0.3789580565267541,0.3789083530240447,0.378907158272473,6813.31406388174,1.2099482217974678E-5,5.703803392857106E-6,1.841520024713522E-5,4.285843590891956E-5,2.3212366963439555E-5,2.3327694326760832E-5,4.285843590891956E-5,1.3115832175447404E-4,355.7185480295653,0.0,0.0,6.607233656768164E-5,NaN,4.672183490164152E-15,0.0,0.0,43,
water-cooling,50.0,0.2,60.0,OK,501.2885687952669,0.001670961895984223,0.3795940340808883,0.3769829813321759,0.37695166305124517,0.37693383013350124,24451.956834047287,1.6476913309958544E-4,6.438753707082848E-5,1.4717704482626479E-5,9.604536833342224E-4,2.6488559322976692E-5,3.319178298792539E-5,9.604536833342224E-4,8.307611346287712E-5,344.5364866387474,0.0,0.0,9.869683860278425E-4,NaN,2.5293385877294438E-15,0.0,0.0,43,
water-cooling,50.0,1.0,2.0,OK,10263.2980488236,0.034210993496078666,1.8979701704044414,1.8979559598528994,1.8979505771176148,1.8979505769170757,941.5500965076883,1.2403542554069248E-8,1.0143827951256709E-10,8.098429788179169E-7,8.024645235347598E-7,8.126375187284135E-7,8.126380487960323E-7,8.024645235347598E-7,2.8360696446435903E-6,359.88192036607376,0.0,0.0,1.0173003460617947E-8,NaN,1.3209440687153714E-13,0.0,0.0,43,
water-cooling,50.0,1.0,15.0,OK,10263.2980488236,0.034210993496078666,1.8979701704044414,1.8978619279723419,1.897824243349874,1.8978242322199563,7016.616871853977,5.032099368066741E-7,2.461814308063433E-7,5.650760782707852E-6,5.230135566172916E-6,5.797212812985065E-6,5.797256060607572E-6,5.230135566172916E-6,1.985635620403363E-5,359.1199250747693,0.0,0.0,5.670805342986892E-7,NaN,7.466162037719623E-14,0.0,0.0,43,
