=== harness select (repo /home/user/CreateChemE, 3dbd9b8 + uncommitted src changes)
DUTY 5.0 3 open=false phi=0.009841531052303468 P=148534.7473854465 q=[0.011191420661456453, 0.0] rejected=0 modes=[PASSIVE, CLOSED]
DUTY 5.0 4 open=false phi=0.009897705979036546 P=148543.3061746606 q=[0.011190395300735968, 0.0] rejected=0 modes=[PASSIVE, CLOSED]
DUTY 5.0 5 open=false phi=0.00995387576645825 P=148551.861928259 q=[0.011189370224001276, 0.0] rejected=0 modes=[PASSIVE, CLOSED]
DUTY 5.0 6 open=false phi=0.01001004041584938 P=148560.41469586847 q=[0.011188345425333496, 0.0] rejected=0 modes=[PASSIVE, CLOSED]
DUTY 5.0 7 open=true phi=0.009688986444650145 P=148512.48799637012 q=[0.011194126717578932, 0.07515043497625241] rejected=2 modes=[PASSIVE, CLOSED]
DUTY 5.0 8 open=false phi=0.009745174748135726 P=148521.05005866193 q=[0.011193061278050656, 0.0] rejected=0 modes=[PASSIVE, CLOSED]
DUTY 5.0 9 open=false phi=0.00980135791164473 P=148529.60899835112 q=[0.011192036028541429, 0.0] rejected=0 modes=[PASSIVE, CLOSED]
DUTY 5.0 10 open=false phi=0.009857535936501112 P=148538.16486829804 q=[0.011191011067124175, 0.0] rejected=0 modes=[PASSIVE, CLOSED]
DUTY 5.0 11 open=false phi=0.009913708824003423 P=148546.71771910542 q=[0.011189986387768896, 0.0] rejected=0 modes=[PASSIVE, CLOSED]
DUTY 5.0 12 open=false phi=0.00996987657542296 P=148555.26760033116 q=[0.011188961984559608, 0.0] rejected=0 modes=[PASSIVE, CLOSED]
DUTY 5.0 13 open=false phi=0.00964880499111009 P=148507.32848676914 q=[0.011190700144236353, 0.07515049569575548] rejected=3 modes=[PASSIVE, CLOSED]
DUTY 5.0 14 open=false phi=0.00970499640453295 P=148515.88771881966 q=[0.011193679439465925, 0.0] rejected=0 modes=[PASSIVE, CLOSED]
DUTY 5.0 15 open=false phi=0.009761182679890727 P=148524.4438438294 q=[0.011192654576855823, 0.0] rejected=0 modes=[PASSIVE, CLOSED]
DUTY 5.0 16 open=false phi=0.009817363818493992 P=148532.99691450715 q=[0.011191630000542269, 0.0] rejected=0 modes=[PASSIVE, CLOSED]
DUTY 5.0 17 open=false phi=0.009873539821632417 P=148541.54698140692 q=[0.01119060570449366, 0.0] rejected=0 modes=[PASSIVE, CLOSED]
DUTY 5.0 18 open=false phi=0.009929710690568451 P=148550.0940940344 q=[0.011189581682803752, 0.0] rejected=0 modes=[PASSIVE, CLOSED]
DUTY 5.0 19 open=false phi=0.009985876426537874 P=148558.63830087415 q=[0.011188557929697193, 0.0] rejected=0 modes=[PASSIVE, CLOSED]
DUTY 5.0 20 open=false phi=0.009664788291283683 P=148510.69080820124 q=[0.011190296923223613, 0.0751533623658789] rejected=3 modes=[PASSIVE, CLOSED]
DUTY 5.0 21 open=false phi=0.009720977698734423 P=148519.24426190055 q=[0.011193277224164258, 0.0] rejected=0 modes=[PASSIVE, CLOSED]
DUTY 5.0 22 open=false phi=0.009777161971255218 P=148527.79467423313 q=[0.011192253016309339, 0.0] rejected=0 modes=[PASSIVE, CLOSED]
DUTY 5.0 23 open=false phi=0.009833341110120783 P=148536.342096796 q=[0.011191229087083265, 0.0] rejected=0 modes=[PASSIVE, CLOSED]
DUTY 5.0 24 open=false phi=0.009889515116585446 P=148544.88657906366 q=[0.011190205430591058, 0.0] rejected=0 modes=[PASSIVE, CLOSED]
DUTY 5.0 25 open=false phi=0.009945683991876904 P=148553.42816948608 q=[0.011189182041050265, 0.0] rejected=0 modes=[PASSIVE, CLOSED]
DUTY 5.0 26 open=false phi=0.010001847737196735 P=148561.9669155162 q=[0.011188158912801123, 0.0] rejected=0 modes=[PASSIVE, CLOSED]
DUTY 5.0 27 open=true phi=0.009680784904674661 P=148514.02388914654 q=[0.011193942230182568, 0.0751519432744125] rejected=2 modes=[PASSIVE, CLOSED]
DUTY 5.0 28 open=false phi=0.009736972323183319 P=148522.57174638016 q=[0.011192878483603837, 0.0] rejected=0 modes=[PASSIVE, CLOSED]
DUTY 5.0 29 open=false phi=0.009793154609790801 P=148531.11662571333 q=[0.011191854909217596, 0.0] rejected=0 modes=[PASSIVE, CLOSED]
DUTY 5.0 30 open=false phi=0.009849331765741433 P=148539.65857779255 q=[0.011190831606043691, 0.0] rejected=0 modes=[PASSIVE, CLOSED]
DUTY 5.0 31 open=false phi=0.009905503792255292 P=148548.1976510475 q=[0.011189808568303572, 0.0] rejected=0 modes=[PASSIVE, CLOSED]
DUTY 5.0 32 open=false phi=0.009961670690526423 P=148556.733892907 q=[0.011188785790338773, 0.0] rejected=0 modes=[PASSIVE, CLOSED]
