=== harness select (repo /home/user/CreateChemE, 3dbd9b8 + uncommitted src changes)
PHASE_PORT_CLOSURE_SLICE refusal-0.1 33 phiStart=0.0 phiEnd=0.0 P=150000.0->150000.0 out=0.0 in=0.0 accepted=1 rejected=1 reopens=1 reasons={Backward-Euler boundary reopened=1} modes=[VELOCITY_LIMITED, PASSIVE]
PHASE_PORT_CLOSURE_SLICE refusal-0.1 34 phiStart=0.0 phiEnd=0.0 P=150000.0->150000.0 out=0.0 in=0.0 accepted=1 rejected=1 reopens=1 reasons={Backward-Euler boundary reopened=1} modes=[VELOCITY_LIMITED, PASSIVE]
PHASE_PORT_CLOSURE_SLICE refusal-0.1 35 phiStart=0.0 phiEnd=0.0 P=150000.0->150000.0 out=0.0 in=0.0 accepted=1 rejected=1 reopens=1 reasons={Backward-Euler boundary reopened=1} modes=[VELOCITY_LIMITED, PASSIVE]
PHASE_PORT_CLOSURE_SLICE refusal-0.1 36 phiStart=0.0 phiEnd=0.0 P=150000.0->150000.0 out=0.0 in=0.0 accepted=1 rejected=1 reopens=1 reasons={Backward-Euler boundary reopened=1} modes=[VELOCITY_LIMITED, PASSIVE]
PHASE_PORT_CLOSURE_SLICE refusal-0.1 37 phiStart=0.0 phiEnd=0.0 P=150000.0->150000.0 out=0.0 in=0.0 accepted=1 rejected=1 reopens=1 reasons={Backward-Euler boundary reopened=1} modes=[VELOCITY_LIMITED, PASSIVE]
PHASE_PORT_CLOSURE_SLICE refusal-0.1 38 phiStart=0.0 phiEnd=0.0 P=150000.0->150000.0 out=0.0 in=0.0 accepted=1 rejected=1 reopens=1 reasons={Backward-Euler boundary reopened=1} modes=[VELOCITY_LIMITED, PASSIVE]
PHASE_PORT_CLOSURE_SLICE refusal-0.1 39 phiStart=0.0 phiEnd=0.0 P=150000.0->150000.0 out=0.0 in=0.0 accepted=1 rejected=1 reopens=1 reasons={Backward-Euler boundary reopened=1} modes=[VELOCITY_LIMITED, PASSIVE]
PHASE_PORT_CLOSURE_SLICE refusal-0.1 40 phiStart=0.0 phiEnd=0.0 P=150000.0->150000.0 out=0.0 in=0.0 accepted=1 rejected=1 reopens=1 reasons={Backward-Euler boundary reopened=1} modes=[VELOCITY_LIMITED, PASSIVE]
PHASE_PORT_CLOSURE_SLICE refusal-0.1 41 phiStart=0.0 phiEnd=0.0 P=150000.0->150000.0 out=0.0 in=0.0 accepted=1 rejected=1 reopens=1 reasons={Backward-Euler boundary reopened=1} modes=[VELOCITY_LIMITED, PASSIVE]
PHASE_PORT_CLOSURE_SLICE refusal-0.1 42 phiStart=0.0 phiEnd=0.0 P=150000.0->150000.0 out=0.0 in=0.0 accepted=1 rejected=1 reopens=1 reasons={Backward-Euler boundary reopened=1} modes=[VELOCITY_LIMITED, PASSIVE]
PHASE_PORT_CLOSURE_SLICE refusal-0.1 43 phiStart=0.0 phiEnd=0.0 P=150000.0->150000.0 out=0.0 in=0.0 accepted=1 rejected=1 reopens=1 reasons={Backward-Euler boundary reopened=1} modes=[VELOCITY_LIMITED, PASSIVE]
PHASE_PORT_CLOSURE_SLICE refusal-0.1 44 phiStart=0.0 phiEnd=0.0 P=150000.0->150000.0 out=0.0 in=0.0 accepted=1 rejected=1 reopens=1 reasons={Backward-Euler boundary reopened=1} modes=[VELOCITY_LIMITED, PASSIVE]
PHASE_PORT_CLOSURE_SLICE refusal-0.1 45 phiStart=0.0 phiEnd=0.0 P=150000.0->150000.0 out=0.0 in=0.0 accepted=1 rejected=1 reopens=1 reasons={Backward-Euler boundary reopened=1} modes=[VELOCITY_LIMITED, PASSIVE]
PHASE_PORT_CLOSURE_SLICE refusal-0.1 46 phiStart=0.0 phiEnd=0.0 P=150000.0->150000.0 out=0.0 in=0.0 accepted=1 rejected=1 reopens=1 reasons={Backward-Euler boundary reopened=1} modes=[VELOCITY_LIMITED, PASSIVE]
PHASE_PORT_CLOSURE_SLICE refusal-0.1 47 phiStart=0.0 phiEnd=0.0 P=150000.0->150000.0 out=0.0 in=0.0 accepted=1 rejected=1 reopens=1 reasons={Backward-Euler boundary reopened=1} modes=[VELOCITY_LIMITED, PASSIVE]
PHASE_PORT_CLOSURE_SLICE refusal-0.1 48 phiStart=0.0 phiEnd=0.0 P=150000.0->150000.0 out=0.0 in=0.0 accepted=1 rejected=1 reopens=1 reasons={Backward-Euler boundary reopened=1} modes=[VELOCITY_LIMITED, PASSIVE]
PHASE_PORT_CLOSURE_SLICE refusal-0.1 49 phiStart=0.0 phiEnd=0.0 P=150000.0->150000.0 out=0.0 in=0.0 accepted=1 rejected=1 reopens=1 reasons={Backward-Euler boundary reopened=1} modes=[VELOCITY_LIMITED, PASSIVE]
PHASE_PORT_CLOSURE_SLICE refusal-0.1 50 phiStart=0.0 phiEnd=0.0 P=150000.0->150000.0 out=0.0 in=0.0 accepted=1 rejected=1 reopens=1 reasons={Backward-Euler boundary reopened=1} modes=[VELOCITY_LIMITED, PASSIVE]
PHASE_PORT_CLOSURE_SLICE refusal-0.1 51 phiStart=0.0 phiEnd=0.0 P=150000.0->150000.0 out=0.0 in=0.0 accepted=1 rejected=1 reopens=1 reasons={Backward-Euler boundary reopened=1} modes=[VELOCITY_LIMITED, PASSIVE]
PHASE_PORT_CLOSURE_SLICE refusal-0.1 52 phiStart=0.0 phiEnd=0.0 P=150000.0->150000.0 out=0.0 in=0.0 accepted=1 rejected=1 reopens=1 reasons={Backward-Euler boundary reopened=1} modes=[VELOCITY_LIMITED, PASSIVE]
PHASE_PORT_CLOSURE_SLICE refusal-0.1 53 phiStart=0.0 phiEnd=0.0 P=150000.0->150000.0 out=0.0 in=0.0 accepted=1 rejected=1 reopens=1 reasons={Backward-Euler boundary reopened=1} modes=[VELOCITY_LIMITED, PASSIVE]
PHASE_PORT_CLOSURE_SLICE refusal-0.1 54 phiStart=0.0 phiEnd=0.0 P=150000.0->150000.0 out=0.0 in=0.0 accepted=1 rejected=1 reopens=1 reasons={Backward-Euler boundary reopened=1} modes=[VELOCITY_LIMITED, PASSIVE]
PHASE_PORT_CLOSURE_SLICE refusal-0.1 55 phiStart=0.0 phiEnd=0.0 P=150000.0->150000.0 out=0.0 in=0.0 accepted=1 rejected=1 reopens=1 reasons={Backward-Euler boundary reopened=1} modes=[VELOCITY_LIMITED, PASSIVE]
PHASE_PORT_CLOSURE_SLICE refusal-0.1 56 phiStart=0.0 phiEnd=0.0 P=150000.0->150000.0 out=0.0 in=0.0 accepted=1 rejected=1 reopens=1 reasons={Backward-Euler boundary reopened=1} modes=[VELOCITY_LIMITED, PASSIVE]
PHASE_PORT_CLOSURE_SLICE refusal-0.1 57 phiStart=0.0 phiEnd=0.0 P=150000.0->150000.0 out=0.0 in=0.0 accepted=1 rejected=1 reopens=1 reasons={Backward-Euler boundary reopened=1} modes=[VELOCITY_LIMITED, PASSIVE]
PHASE_PORT_CLOSURE_SLICE refusal-0.1 58 phiStart=0.0 phiEnd=0.0 P=150000.0->150000.0 out=0.0 in=0.0 accepted=1 rejected=1 reopens=1 reasons={Backward-Euler boundary reopened=1} modes=[VELOCITY_LIMITED, PASSIVE]
PHASE_PORT_CLOSURE_SLICE refusal-0.1 59 phiStart=0.0 phiEnd=0.0 P=150000.0->150000.0 out=0.0 in=0.0 accepted=1 rejected=1 reopens=1 reasons={Backward-Euler boundary reopened=1} modes=[VELOCITY_LIMITED, PASSIVE]
PHASE_PORT_CLOSURE_SLICE refusal-0.1 60 phiStart=0.0 phiEnd=0.0 P=150000.0->150000.0 out=0.0 in=0.0 accepted=1 rejected=1 reopens=1 reasons={Backward-Euler boundary reopened=1} modes=[VELOCITY_LIMITED, PASSIVE]
PHASE_PORT_CLOSURE_SLICE refusal-0.1 61 phiStart=0.0 phiEnd=0.0 P=150000.0->150000.0 out=0.0 in=0.0 accepted=1 rejected=1 reopens=1 reasons={Backward-Euler boundary reopened=1} modes=[VELOCITY_LIMITED, PASSIVE]
PHASE_PORT_CLOSURE_SLICE refusal-0.1 62 phiStart=0.0 phiEnd=0.0 P=150000.0->150000.0 out=0.0 in=0.0 accepted=1 rejected=1 reopens=1 reasons={Backward-Euler boundary reopened=1} modes=[VELOCITY_LIMITED, PASSIVE]
PHASE_PORT_CLOSURE_SLICE refusal-0.1 63 phiStart=0.0 phiEnd=0.0 P=150000.0->150000.0 out=0.0 in=0.0 accepted=1 rejected=1 reopens=1 reasons={Backward-Euler boundary reopened=1} modes=[VELOCITY_LIMITED, PASSIVE]
PHASE_PORT_CLOSURE_SLICE refusal-0.1 64 phiStart=0.0 phiEnd=0.0 P=150000.0->150000.0 out=0.0 in=0.0 accepted=1 rejected=1 reopens=1 reasons={Backward-Euler boundary reopened=1} modes=[VELOCITY_LIMITED, PASSIVE]
PHASE_PORT_CLOSURE_SLICE refusal-0.1 65 phiStart=0.0 phiEnd=0.0 P=150000.0->150000.0 out=0.0 in=0.0 accepted=1 rejected=1 reopens=1 reasons={Backward-Euler boundary reopened=1} modes=[VELOCITY_LIMITED, PASSIVE]
PHASE_PORT_CLOSURE_SLICE refusal-0.1 66 phiStart=0.0 phiEnd=0.0 P=150000.0->150000.0 out=0.0 in=0.0 accepted=1 rejected=1 reopens=1 reasons={Backward-Euler boundary reopened=1} modes=[VELOCITY_LIMITED, PASSIVE]
PHASE_PORT_CLOSURE_SLICE refusal-0.1 67 phiStart=0.0 phiEnd=0.0 P=150000.0->150000.0 out=0.0 in=0.0 accepted=1 rejected=1 reopens=1 reasons={Backward-Euler boundary reopened=1} modes=[VELOCITY_LIMITED, PASSIVE]
PHASE_PORT_CLOSURE_SLICE refusal-0.1 68 phiStart=0.0 phiEnd=0.0 P=150000.0->150000.0 out=0.0 in=0.0 accepted=1 rejected=1 reopens=1 reasons={Backward-Euler boundary reopened=1} modes=[VELOCITY_LIMITED, PASSIVE]
PHASE_PORT_CLOSURE_SLICE refusal-0.1 69 phiStart=0.0 phiEnd=0.0 P=150000.0->150000.0 out=0.0 in=0.0 accepted=1 rejected=1 reopens=1 reasons={Backward-Euler boundary reopened=1} modes=[VELOCITY_LIMITED, PASSIVE]
PHASE_PORT_CLOSURE_SLICE refusal-0.1 70 phiStart=0.0 phiEnd=0.0 P=150000.0->150000.0 out=0.0 in=0.0 accepted=1 rejected=1 reopens=1 reasons={Backward-Euler boundary reopened=1} modes=[VELOCITY_LIMITED, PASSIVE]
