Temperature (K)	Pressure (kPa)	Density (kg/m3)	Volume (m3/kg)	Internal Energy (kJ/mol)	Enthalpy (kJ/mol)	Entropy (J/mol*K)	Cv (J/mol*K)	Cp (J/mol*K)	Sound Spd. (m/s)	Joule-Thomson (K/MPa)	Viscosity (uPa*s)	Therm. Cond. (W/m*K)	Phase
148.151000000	10.0000000000	0.227554703680	4.39454770140	3.07002941036	4.30109515179	190.385227342	20.7966685638	29.1324284972	248.038165648	7.93080412954	9.94069992785	0.0137794018941	vapor
153.151000000	10.0000000000	0.220112499579	4.54313136198	3.17406257187	4.44675176733	191.352164289	20.7962291183	29.1302703594	252.197344838	7.48755781180	10.2384376515	0.0142255233825	vapor
158.151000000	10.0000000000	0.213142330472	4.69170060113	3.27808972916	4.59239833872	192.287970180	20.7958829780	29.1284025815	256.288519347	7.08198756915	10.5331866462	0.0146679818823	vapor
163.151000000	10.0000000000	0.206600598138	4.84025704191	3.38211176386	4.73803620224	193.194591629	20.7956144184	29.1267805433	260.314947889	6.70955245609	10.8250075041	0.0151068342272	vapor
168.151000000	10.0000000000	0.200448922456	4.98880207359	3.48612942200	4.88366649312	194.073797711	20.7954111052	29.1253681121	264.279633644	6.36640663059	11.1139603761	0.0155421390000	vapor
173.151000000	10.0000000000	0.194653381894	5.13733689222	3.59014334060	5.02929018343	194.927200999	20.7952633975	29.1241359053	268.185351665	6.04927229052	11.4001047640	0.0159739559847	vapor
178.151000000	10.0000000000	0.189183883191	5.28586253297	3.69415406891	5.17490811241	195.756275560	20.7951638452	29.1230599873	272.034672503	5.75533928833	11.6834993568	0.0164023457148	vapor
183.151000000	10.0000000000	0.184013635242	5.43437989628	3.79816208576	5.32052101113	196.562372433	20.7951068291	29.1221208871	275.829982687	5.48218515643	11.9642019051	0.0168273691034	vapor
188.151000000	10.0000000000	0.179118707581	5.58288976905	3.90216781402	5.46612952289	197.346732998	20.7950883077	29.1213028559	279.573502533	5.22771089289	12.2422691257	0.0172490871379	vapor
193.151000000	10.0000000000	0.174477657976	5.73139284193	4.00617163285	5.61173422034	198.110500571	20.7951056414	29.1205933064	283.267301714	4.99008902218	12.5177566296	0.0176675606310	vapor
198.151000000	10.0000000000	0.170071216810	5.87988972359	4.11017388847	5.75733562021	198.854730508	20.7951574771	29.1199823886	286.913312913	4.76772129445	12.7907188710	0.0180828500170	vapor
203.151000000	10.0000000000	0.165882018385	6.02838095252	4.21417490365	5.90293419611	199.580399038	20.7952436737	29.1194626700	290.513343846	4.55920401116	13.0612091124	0.0184950151853	vapor
208.151000000	10.0000000000	0.161894371191	6.17686700682	4.31817498645	6.04853039003	200.288411015	20.7953652599	29.1190288933	294.069087884	4.36329942850	13.3292794018	0.0189041153471	vapor
213.151000000	10.0000000000	0.158094060692	6.32534831242	4.42217443830	6.19412462273	200.979606748	20.7955244120	29.1186777930	297.582133466	4.17891203765	13.5949805625	0.0193102089270	vapor
218.151000000	10.0000000000	0.154468179381	6.47382525001	4.52617356165	6.33971730330	201.654768031	20.7957244457	29.1184079546	301.053972484	4.00506878322	13.8583621897	0.0197133534783	vapor
223.151000000	10.0000000000	0.151004979798	6.62229816089	4.63017266732	6.48530883817	202.314623491	20.7959698151	29.1182197047	304.486007761	3.84090248140	14.1194726552	0.0201136056152	vapor
228.151000000	10.0000000000	0.147693746961	6.77076735188	4.73417208158	6.63089963954	202.959853335	20.7962661133	29.1181150225	307.879559759	3.68563785265	14.3783591177	0.0205110209618	vapor
233.151000000	10.0000000000	0.144524687289	6.91923309960	4.83817215300	6.77649013351	203.591093590	20.7966200724	29.1180974643	311.235872609	3.53857970262	14.6350675370	0.0209056541136	vapor
238.151000000	10.0000000000	0.141488831572	7.06769565408	4.94217325924	6.92208076775	204.208939879	20.7970395579	29.1181720961	314.556119556	3.39910287692	14.8896426922	0.0212975586095	vapor
243.151000000	10.0000000000	0.138577949959	7.21615524186	5.04617581345	7.06767201890	204.813950818	20.7975335565	29.1183454295	317.841407895	3.26664368831	15.1421282025	0.0216867869130	vapor
248.151000000	10.0000000000	0.135784477264	7.36461206869	5.15018027069	7.21326439963	205.406651052	20.7981121554	29.1186253562	321.092783460	3.14069257116	15.3925665505	0.0220733904003	vapor
253.151000000	10.0000000000	0.133101447154	7.51306632186	5.25418713393	7.35885846539	205.987533996	20.7987865122	29.1190210817	324.311234726	3.02078776407	15.6409991061	0.0224574193394	vapor
258.151000000	10.0000000000	0.130522434004	7.66151817219	5.35819695993	7.50445482079	206.557064302	20.7995688146	29.1195430526	327.497696568	2.90650985676	15.8874661531	0.0228389230133	vapor
263.151000000	10.0000000000	0.128041501412	7.80996777586	5.46221036472	7.65005412562	207.115680093	20.8004722301	29.1202028801	330.653053720	2.79747706697	16.1320069149	0.0232179494776	vapor
268.151000000	10.0000000000	0.125653156481	7.95841527586	5.56622802883	7.79565710045	207.663794978	20.8015108462	29.1210132568	333.778143972	2.69334113598	16.3746595821	0.0235945457714	vapor
273.151000000	10.0000000000	0.123352309142	8.10686080343	5.67025070206	7.94126453186	208.201799882	20.8026996010	29.1219878682	336.873761131	2.59378375040	16.6154613398	0.0239687578694	vapor
