Temperature (K)	Pressure (kPa)	Density (l, kg/m3)	Volume (l, m3/kg)	Internal Energy (l, kJ/mol)	Enthalpy (l, kJ/mol)	Entropy (l, J/mol*K)	Cv (l, J/mol*K)	Cp (l, J/mol*K)	Sound Spd. (l, m/s)	Joule-Thomson (l, K/MPa)	Viscosity (l, uPa*s)	Therm. Cond. (l, W/m*K)	Surf. Tension (l, N/m)	Density (v, kg/m3)	Volume (v, m3/kg)	Internal Energy (v, kJ/mol)	Enthalpy (v, kJ/mol)	Entropy (v, J/mol*K)	Cv (v, J/mol*K)	Cp (v, J/mol*K)	Sound Spd. (v, m/s)	Joule-Thomson (v, K/MPa)	Viscosity (v, uPa*s)	Therm. Cond. (v, W/m*K)
85.6571116506	243.710613667	766.915077126	0.00130392533649	-2.94399719171	-2.93509505560	85.2634539865	29.1245293462	58.7234032768	765.514662324	-0.274916159565	118.615700287	0.128366931942	0.00703991863193	10.4200152230	0.0959691496220	1.66249160413	2.31769049354	146.586856655	22.2135972768	33.7185626143	180.006527247	22.6231406723	6.11104679998	0.00823780096905
85.8988933930	249.349414000	765.724747245	0.00130595230675	-2.92992119771	-2.92079893171	85.4277152017	29.0916265517	58.7831348186	762.960090706	-0.272488448887	117.647522380	0.127889963258	0.00698763557414	10.6460094855	0.0939319095445	1.66542878147	2.32155677306	146.457089361	22.2348302910	33.8028375533	180.122829188	22.5149276359	6.13122454178	0.00827107480287
86.1366532286	254.988214333	764.551133880	0.00130795699030	-2.91606849281	-2.90672561576	85.5889245850	29.0594598581	58.8428789953	760.444364395	-0.270067988779	116.706630631	0.127420952726	0.00693629742148	10.8718485430	0.0919806779910	1.66828911213	2.32531695926	146.330111744	22.2559265886	33.8869853063	180.235225980	22.4095103655	6.15111584213	0.00830398238287
86.3705475528	260.627014667	763.393585751	0.00130994027022	-2.90243034164	-2.89286637647	85.7472076031	29.0279993091	58.9026421278	757.965952253	-0.267654300174	115.791664523	0.126959591485	0.00688586701817	11.0975432627	0.0901100339352	1.67107561243	2.32897524751	146.205798777	22.2768912695	33.9710188667	180.343884370	22.3067553681	6.17073205166	0.00833653977119
86.6007234060	266.265815000	762.251490136	0.00131190297814	-2.88899853114	-2.87921300474	85.9026819841	28.9972168010	58.9624302563	755.523415199	-0.265246930034	114.901358817	0.126505588966	0.00683630944727	11.3231040400	0.0883150058910	1.67379111544	2.33253557781	146.084033566	22.2977291607	34.0549506085	180.448960654	22.2065381963	6.19008384447	0.00836876207174
86.8273192193	271.904615334	761.124269821	0.00131384589830	-2.87576532899	-2.86575777200	86.0554583479	28.9670859321	59.0222491608	753.115398837	-0.262845449351	114.034535037	0.126058671465	0.00678759185126	11.5485408299	0.0865910260635	1.67643828576	2.33600165535	145.964706660	22.3184448361	34.1387923312	180.550601536	22.1087426609	6.20918127203	0.00840066350685
87.0504654870	277.543415667	760.011380345	0.00131576977117	-2.86272344602	-2.85249339273	86.2056407733	28.9375818670	59.0821043803	750.740626810	-0.260449451337	113.190093867	0.125618580854	0.00673968327053	11.7738631754	0.0849338900154	1.67901963275	2.33937696900	145.847715433	22.3390426348	34.2225553017	180.648944897	22.0132601252	6.22803381177	0.00843225748617
87.2702853735	283.182216000	758.912307510	0.00131767529674	-2.84986600235	-2.83941299050	86.3533273097	28.9086812149	59.1420012298	748.397894803	-0.258058549780	112.367008367	0.125185073413	0.00669255449736	11.9990802340	0.0833397210866	1.68153752249	2.34266480804	145.732963533	22.3595266774	34.3062502925	180.744120493	21.9199888735	6.24665041100	0.00846355666904
87.4868952627	288.821016333	757.826565127	0.00131956313755	-2.83718649669	-2.82651006736	86.4986104389	28.8803619185	59.2019448156	746.086065120	-0.255672377558	111.564317872	0.124757918762	0.00664617794402	12.2242008016	0.0818049389266	1.68399418868	2.34586827730	145.620360378	22.3799008812	34.3898876153	180.836250580	21.8288335434	6.26503952660	0.00849457302085
87.7004052570	294.459816667	756.753692972	0.00132143392135	-2.82467877849	-2.81377847598	86.6415774935	28.8526031546	59.2619400501	743.804061762	-0.253290585282	110.781122535	0.124336898895	0.00660052752304	12.4492333346	0.0803262315936	1.68639174240	2.34899031078	145.509820709	22.4001689742	34.4734771537	180.925450483	21.7397046145	6.28320916108	0.00852531786423
