Temperature (K)	Pressure (kPa)	Density (kg/m3)	Volume (m3/kg)	Internal Energy (kJ/mol)	Enthalpy (kJ/mol)	Entropy (J/mol*K)	Cv (J/mol*K)	Cp (J/mol*K)	Sound Spd. (m/s)	Joule-Thomson (K/MPa)	Viscosity (uPa*s)	Therm. Cond. (W/m*K)	Phase
203.160000000	0.100000000000	0.00165841446561	602.985574920	4.21533797386	5.90451040819	237.876225971	20.7932095581	29.1078165839	290.534072419	4.55998560349	13.0595930743	0.0184911002786	vapor
208.160000000	0.100000000000	0.00161857907672	617.825853790	4.31930491472	6.05005013459	238.583932346	20.7934759774	29.1080774582	294.087017719	4.36409199111	13.3277244550	0.0189003071038	vapor
213.160000000	0.100000000000	0.00158061251563	632.666127917	4.42327322932	6.19559122142	239.274846222	20.7937651627	29.1083615484	297.597474954	4.17970960934	13.5934832786	0.0193065021706	vapor
218.160000000	0.100000000000	0.00154438628496	647.506397680	4.52724304517	6.34113379730	239.949746958	20.7940823105	29.1086740037	301.066916484	4.00586660244	13.8569194038	0.0197097433956	vapor
223.160000000	0.100000000000	0.00150978340381	662.346663419	4.63121451783	6.48667801871	240.609361053	20.7944334753	29.1090208377	304.496727809	3.84169675363	14.1180814401	0.0201100877236	vapor
228.160000000	0.100000000000	0.00147669714584	677.186925441	4.73518783526	6.63222407446	241.254366845	20.7948256185	29.1094089758	307.888213984	3.68642556619	14.3770167613	0.0205075910800	vapor
233.160000000	0.100000000000	0.00144502993970	692.027184022	4.83916322247	6.77777219038	241.885398717	20.7952666463	29.1098462924	311.242605396	3.53935848100	14.6337715225	0.0209023083353	vapor
238.160000000	0.100000000000	0.00141469240800	706.867439412	4.94314094639	6.92332263405	242.503050842	20.7957654355	29.1103416366	314.561063001	3.39987086021	14.8883906803	0.0212942932804	vapor
243.160000000	0.100000000000	0.00138560252483	721.707691836	5.04712132068	7.06887571979	243.107880548	20.7963318477	29.1109048451	317.844683075	3.26739943682	15.1409180157	0.0216835986102	vapor
248.160000000	0.100000000000	0.00135768487515	736.547941502	5.15110471076	7.21443181359	243.700411336	20.7969767290	29.1115467423	321.094501551	3.14143498891	15.3913961586	0.0220702759154	vapor
253.160000000	0.100000000000	0.00133087000192	751.388188594	5.25509153863	7.35999133798	244.281135604	20.7977118978	29.1122791271	324.311497984	3.02151603475	15.6398666141	0.0224543756795	vapor
258.160000000	0.100000000000	0.00130509382915	766.228433286	5.35908228774	7.50555477687	244.850517095	20.7985501189	29.1131147468	327.496599199	2.90722339274	15.8863697894	0.0228359472810	vapor
263.160000000	0.100000000000	0.00128029715065	781.068675731	5.46307750760	7.65112268022	245.408993116	20.7995050652	29.1140672590	330.650682647	2.79817546753	16.1309450215	0.0232150390001	vapor
268.160000000	0.100000000000	0.00125642517605	795.908916073	5.56707781821	7.79669566843	245.956976543	20.8005912685	29.1151511814	333.774579520	2.69402415253	16.3736306052	0.0235916980285	vapor
273.160000000	0.100000000000	0.00123342712665	810.749154444	5.67108391423	7.94227443654	246.494857644	20.8018240582	29.1163818311	336.869077631	2.59445125790	16.6144638213	0.0239659704825	vapor
278.160000000	0.100000000000	0.00121125587483	825.589390963	5.77509656880	8.08785975800	247.023005734	20.8032194921	29.1177752544	339.934924107	2.49916538803	16.8534809650	0.0243379014177	vapor
283.160000000	0.100000000000	0.00118986762171	840.429625742	5.87911663695	8.23345248817	247.541770679	20.8047942773	29.1193481484	342.972827899	2.40789919883	17.0907173735	0.0247075348457	vapor
288.160000000	0.100000000000	0.00116922160838	855.269858883	5.98314505870	8.37905356734	248.051484268	20.8065656854	29.1211177755	345.983462132	2.32040698996	17.3262074538	0.0250749137530	vapor
293.160000000	0.100000000000	0.00114927985658	870.110090481	6.08718286160	8.52466402335	248.552461467	20.8085514615	29.1231018724	348.967466313	2.23646257839	17.5599847100	0.0254400801201	vapor
298.160000000	0.100000000000	0.00113000693564	884.950320623	6.19123116292	8.67028497369	249.045001565	20.8107697292	29.1253185553	351.925448407	2.15585741745	17.7920817701	0.0258030749417	vapor
303.160000000	0.100000000000	0.00111136975230	899.790549389	6.29529117125	8.81591762720	249.529389222	20.8132388927	29.1277862213	354.857986792	2.07839893107	18.0225304119	0.0261639382480	vapor
