Temperature (K)	Pressure (kPa)	Density (kg/m3)	Volume (m3/kg)	Internal Energy (kJ/mol)	Enthalpy (kJ/mol)	Entropy (J/mol*K)	Cv (J/mol*K)	Cp (J/mol*K)	Sound Spd. (m/s)	Joule-Thomson (K/MPa)	Viscosity (uPa*s)	Therm. Cond. (W/m*K)	Phase
123.160000000	1.00000000000	0.0273593818123	36.5505334462	2.55181649622	3.57572413391	204.161922046	20.7911205982	29.1090581287	226.203441060	10.9403606931	8.40197223236	0.0114859196047	vapor
128.160000000	1.00000000000	0.0262916819837	38.0348431347	2.65578027556	3.72126859302	205.320315104	20.7911440820	29.1087397177	230.750732084	10.2030014912	8.71573407373	0.0119513602882	vapor
133.160000000	1.00000000000	0.0253042042789	39.5191245287	2.75974345437	3.86681165897	206.434357922	20.7911964414	29.1084981799	235.209999454	9.54387297484	9.02619387298	0.0124128882318	vapor
138.160000000	1.00000000000	0.0243882324593	41.0033815148	2.86370627111	4.01235367911	207.507323438	20.7912720114	29.1083193199	239.586171444	8.95137237452	9.33341068150	0.0128705404269	vapor
143.160000000	1.00000000000	0.0235362692352	42.4876173027	2.96766892060	4.15789493816	208.542134962	20.7913665138	29.1081921340	243.883731890	8.41605223138	9.63744503779	0.0133243604326	vapor
148.160000000	1.00000000000	0.0227418303072	43.9718345662	3.07163156395	4.30343567213	209.541414302	20.7914767021	29.1081080184	248.106774472	7.93014829568	9.93835835416	0.0137743969538	vapor
153.160000000	1.00000000000	0.0219992788177	45.4560355494	3.17559433603	4.44897607877	210.507521880	20.7916001198	29.1080602068	252.259048712	7.48722490902	10.2362124282	0.0142207026799	vapor
158.160000000	1.00000000000	0.0213036912523	46.9402221500	3.27955735137	4.59451632576	211.442590381	20.7917349364	29.1080433721	256.343999184	7.08190546764	10.5310690541	0.0146633333331	vapor
163.160000000	1.00000000000	0.0206507480310	48.4243959832	3.38352070873	4.74005655712	212.348553159	20.7918798431	29.1080533445	260.364799115	6.70966529774	10.8229897141	0.0151023468873	vapor
168.160000000	1.00000000000	0.0200366436422	49.9085584320	3.48748449503	4.88559689849	213.227168341	20.7920339907	29.1080869167	264.324379319	6.36667086271	11.1120353357	0.0155378029266	vapor
173.160000000	1.00000000000	0.0194580123643	51.3927106878	3.59144878862	5.03113746162	214.080039397	20.7921969619	29.1081417134	268.225453236	6.04965374916	11.3982660997	0.0159697621177	vapor
178.160000000	1.00000000000	0.0189118665063	52.8768537820	3.69541366237	5.17667834826	214.908632779	20.7923687695	29.1082161113	272.070538681	5.75581103155	11.6817412924	0.0163982857757	vapor
183.160000000	1.00000000000	0.0183955447746	54.3609886119	3.79937918658	5.32221965384	215.714293112	20.7925498749	29.1083091963	275.861976810	5.48272583957	11.9625191913	0.0168234355075	vapor
188.160000000	1.00000000000	0.0179066688782	55.8451159622	3.90334543186	5.46776147096	216.498256342	20.7927412236	29.1084207508	279.601948723	5.22830353952	12.2406569793	0.0172452729197	vapor
193.160000000	1.00000000000	0.0174431068801	57.3292365216	4.00731247219	5.61330389290	217.261661160	20.7929442922	29.1085512623	283.292490049	4.99072008677	12.5162106817	0.0176638593786	vapor
198.160000000	1.00000000000	0.0170029420998	58.8133508972	4.11128038808	5.75884701717	218.005558961	20.7931611440	29.1087019492	286.935503795	4.76837994181	12.7892351219	0.0180792558150	vapor
203.160000000	1.00000000000	0.0165844466118	60.2974596262	4.21524926999	5.90439094928	218.730922570	20.7933944902	29.1088747973	290.532771709	4.55988155887	13.0597838917	0.0184915225653	vapor
208.160000000	1.00000000000	0.0161860585656	61.7815631857	4.31921922202	6.04993580669	219.438653898	20.7936477527	29.1090726028	294.085964351	4.36398891226	13.3279093352	0.0189007192438	vapor
213.160000000	1.00000000000	0.0158063626993	63.2656620009	4.42319036579	6.19548172294	220.129590703	20.7939251261	29.1092990186	297.596650060	4.17960787050	13.5936625408	0.0193069046401	vapor
218.160000000	1.00000000000	0.0154440735348	64.7497564517	4.52716284473	6.34102885210	220.804512556	20.7942316363	29.1095585993	301.066302955	4.00576648685	13.8570933430	0.0197101366382	vapor
223.160000000	1.00000000000	0.0150980208326	66.2338468789	4.63113682846	6.48657737332	221.464146139	20.7945731927	29.1098568434	304.496310095	3.84159847292	14.1182503297	0.0201104721529	vapor
228.160000000	1.00000000000	0.0147671369607	67.7179335887	4.73511251748	6.63212749571	222.109169956	20.7949566327	29.1102002280	307.887977922	3.68632927478	14.3771808551	0.0205079670824	vapor
233.160000000	1.00000000000	0.0144504458889	69.2020168575	4.83909014806	6.77767946325	222.740218528	20.7953897559	29.1105962364	311.242538060	3.53926428765	14.6339310563	0.0209026762723	vapor
238.160000000	1.00000000000	0.0141470535701	70.6860969348	4.94306999714	6.92323355990	223.357886156	20.7958813476	29.1110533747	314.561152569	3.39977883728	14.8885458735	0.0212946534906	vapor
243.160000000	1.00000000000	0.0138561395092	72.1701740471	5.04705238745	7.06879011472	223.962730278	20.7964411899	29.1115811782	317.844918716	3.26730962825	15.1410690730	0.0216839514116	vapor
248.160000000	1.00000000000	0.0135769493509	73.6542483997	5.15103769254	7.21434950700	224.555274495	20.7970800604	29.1121902056	321.094873324	3.14134741508	15.3915432711	0.0220706216067	vapor
253.160000000	1.00000000000	0.0133087883467	75.1383201798	5.25502634177	7.35991217136	225.136011292	20.7978097174	29.1128920206	324.311996751	3.02143069828	15.6400099605	0.0224547145412	vapor
258.160000000	1.00000000000	0.0130510155813	76.6223895580	5.35901882526	7.50547860270	225.705404489	20.7986428736	29.1136991620	327.497216543	2.90714028203	15.8865095369	0.0228362795783	vapor
263.160000000	1.00000000000	0.0128030388571	78.1064566904	5.46301569856	7.65104936093	226.263891463	20.7995931560	29.1146251019	330.651410807	2.79809455945	16.1310813270	0.0232153649825	vapor
268.160000000	1.00000000000	0.0125643101514	79.5905217199	5.56701758720	7.79662507559	226.811885154	20.8006750563	29.1156841923	333.775411324	2.69394541543	16.3737636158	0.0235920179317	vapor
273.160000000	1.00000000000	0.0123343215725	81.0745847775	5.67102519084	7.94220645002	227.349775886	20.8019038684	29.1168916026	336.870006448	2.59437465384	16.6145936755	0.0239662845290	vapor
278.160000000	1.00000000000	0.0121126017522	82.5586459838	5.77503928721	8.08779426530	227.877933023	20.8032956188	29.1182632465	339.935943795	2.49909087331	16.8536077929	0.0243382098180	vapor
283.160000000	1.00000000000	0.0118987126205	84.0427054498	5.87906073554	8.23338938380	228.396706479	20.8048669870	29.1198157018	342.973932759	2.40782672678	17.0908412976	0.0247078377994	vapor
288.160000000	1.00000000000	0.0116922465165	85.5267632778	5.98309047969	8.37899275224	228.906428082	20.8066352198	29.1215661238	345.984646874	2.32033651110	17.3263285898	0.0250752114491	vapor
293.160000000	1.00000000000	0.0114928235940	87.0108195624	6.08712955077	8.52460540436	229.407412837	20.8086180406	29.1235321523	348.968726018	2.23639404098	17.5601031669	0.0254403727379	vapor
298.160000000	1.00000000000	0.0113000894897	88.4948743911	6.19117906928	8.67022846314	229.899960067	20.8108335534	29.1257318160	351.926778496	2.15579076907	17.7921976510	0.0258033626517	vapor
303.160000000	1.00000000000	0.0111137132210	89.9789278449	6.29524024683	8.81586314243	230.384354462	20.8133001448	29.1281834329	354.859382997	2.07833411904	18.0226438143	0.0261642212119	vapor
