fluid,L_m,v0_m_s,U_W_m2K,status,dp_Pa,dp_fraction,q0,qref,q1,q2,heat_ref,cp0_error,cp1_error,table_error,frozen_error,one_error,two_error,gated_error,flow_one_error,outlet_ref_K,vapor_in,vapor_out,one_self_mismatch,refinement_error,energy_residual,one_cpu_us,reference_cpu_us,reference_evals,detail
methane-cooling,10.0,0.02,15.0,OK,0.043261804770069474,1.4420601590023158E-7,4.5475262872800636E-5,1.1322593548217767E-4,1.1501500467832191E-4,1.1493483111192706E-4,57.62970296184953,0.13749279415444252,1.232945337633398E-16,0.0,0.598367081895661,0.015800878027859958,0.015092793205655403,0.015800878027859958,0.01580087802786001,300.0,1.0,1.0,0.6046145196447413,9.199057945045166E-4,1.2137667571494093E-16,0.0,31250.0,43,
methane-cooling,10.0,1.0,15.0,OK,4.470113165583252,1.490037721861084E-5,0.002273763143640031,0.002701038924276753,0.0027505264002742062,0.0026979030304356373,1342.946507996968,0.10724988919714383,0.004339239973532891,3.0239376888040046E-4,0.14805639606774224,0.016264928495875276,0.0013562457121022197,0.016264928495875276,0.01832164488732953,305.2427174925555,1.0,1.0,0.16169142509603435,7.855940818585329E-6,1.665998206696307E-16,0.0,15625.0,43,
methane-cooling,100.0,0.02,15.0,OK,0.43261804770069473,1.4420601590023157E-6,4.5475262872800636E-5,1.1501275829092148E-4,1.1501501914865504E-4,1.1501501914863668E-4,58.53915950354065,0.1374927941544427,0.0,0.0,0.6046067971192183,1.9657451635346327E-5,1.965745147573288E-5,1.9657451635346327E-5,1.965745163539687E-5,300.0,1.0,1.0,0.6046145693891977,3.317898527032168E-4,0.0,0.0,31250.0,43,
methane-cooling,100.0,1.0,15.0,OK,44.70113165583252,1.490037721861084E-4,0.002273763143640031,0.0030177988306212974,0.0030525458383942167,0.0030385734054908216,1535.9983511436487,0.13749279415224347,1.840011601350384E-13,4.440896865688778E-16,0.24654913357100197,0.011514023870757124,0.006884015812692599,0.011514023870757124,0.011514023870758056,300.00000000000017,1.0,1.0,0.2551256347927137,1.0520446059938855E-4,1.463448771144999E-16,0.0,31250.0,43,
methane-heating,10.0,0.02,15.0,OK,0.028674413247180633,9.558137749060211E-8,7.623325485906263E-5,3.0174108917800647E-5,3.014399071813023E-5,3.0141518377016647E-5,-15.358008981476349,0.11913502348620857,0.0,0.0,1.5264459363732943,9.9814711189868E-4,0.0010800829569741963,9.9814711189868E-4,9.981471118986104E-4,500.0,1.0,1.0,1.528970220695159,6.917253881347085E-4,0.0,0.0,46875.0,43,
methane-heating,10.0,1.0,15.0,OK,6.535443704364854,2.1784812347882847E-5,0.0038116627429531304,0.002896875959454728,0.0029650289328500825,0.0029004173931452435,-1395.0308892046594,0.09371599484105349,0.01048121973597791,4.3932077360956035E-4,0.2432010213981748,0.020054008947352358,0.0014648293909222594,0.020054008947352358,0.023526369216092618,490.471379191369,1.0,1.0,0.2187599975035632,7.638304054738056E-6,0.0,0.0,31250.0,43,
methane-heating,100.0,0.02,15.0,OK,0.28674413247180636,9.558137749060212E-7,7.623325485906263E-5,3.014151829945597E-5,3.014151829945597E-5,3.0141518299341503E-5,-15.341421018245589,0.1191350234862086,0.0,0.0,1.5291776645650452,0.0,3.797624193310354E-12,0.0,0.0,500.0,1.0,1.0,1.5291776645650452,1.1398286374635043E-7,0.0,0.0,31250.0,43,
methane-heating,100.0,1.0,15.0,OK,65.35443704364855,2.1784812347882849E-4,0.0038116627429531304,0.002669505442949464,0.0026702610210519715,0.002659658108114098,-1358.724086288746,0.11913502348616394,4.970102634383486E-14,1.8073100488667224E-14,0.4278535193427712,2.830404802323501E-4,0.003688823658822803,2.830404802323501E-4,2.8304048021447005E-4,499.9999999999911,1.0,1.0,0.42744949335266524,7.917399508302707E-5,0.0,0.0,15625.0,43,
pentane-liquid,10.0,0.02,15.0,OK,0.9668625175229547,9.668625175229546E-7,0.022756109097581505,0.023067232285317544,0.023072263647034564,0.023067105358996594,772.2993863259184,0.0025066079311144,9.643711591035652E-4,1.4654487471023813E-4,0.0027979884584682976,1.0417961251026905E-4,1.476138331542446E-4,0.0027979884584682976,2.1811726932764744E-4,326.4096439319063,0.0,0.0,0.0026940895151597857,7.574523213523878E-8,7.361049666712521E-16,0.0,15625.0,43,
pentane-liquid,10.0,1.0,15.0,OK,1206.0984495841283,0.0012060984495841282,1.137805454879075,1.1379520925834663,1.1379477141873335,1.137947696448026,938.5988915857569,1.2276273308571202E-6,5.874771877453906E-7,2.7080688919555204E-5,2.7615302986915006E-5,2.7096649704020936E-5,2.7096714423836272E-5,2.7615302986915006E-5,3.847610247655184E-6,339.6711523466165,0.0,0.0,5.186673370412176E-7,2.5604735786406896E-8,3.876072536857305E-15,0.0,0.0,43,
pentane-liquid,100.0,0.02,15.0,OK,9.668625175229545,9.668625175229546E-6,0.022756109097581505,0.024757986668915048,0.02481724966391947,0.024756182869990522,2320.9940221555357,0.04654172944166531,0.0017090634269653613,1.299705628483168E-4,0.0764399276234387,0.0021020599189894426,1.979325225329888E-4,0.0764399276234387,0.002393692015305562,300.6588794603474,0.0,0.0,0.07837723390048466,7.234030912250618E-8,1.955168542151442E-16,0.0,31250.0,43,
pentane-liquid,100.0,1.0,15.0,OK,12060.98449584128,0.01206098449584128,1.137805454879075,1.1392209838267313,1.1391969973966194,1.1391953390788458,9045.73966525629,1.1981841345030425E-4,5.7004111332005726E-5,1.5943555405876448E-4,2.1033474757771497E-4,1.602970267906761E-4,1.6035658657888907E-4,2.1033474757771497E-4,2.1055116129751795E-5,336.82184506088043,0.0,0.0,5.0045742970840645E-5,2.6346932300224216E-8,1.4078414450852947E-15,0.0,0.0,43,
pentane-condensing,10.0,0.02,15.0,OK,0.02485229644631139,1.2426148223155695E-7,1.6763148559761532E-4,6.527331214620916E-4,9.497784924006388E-4,5.542510000420516E-4,388.453694773568,0.5531041827561785,6.83352748647164E-4,1.1167417354526418E-6,0.7431835335396605,0.4535750322971996,0.1508712499136278,0.4535750322971996,0.45507935965188867,300.0017668387035,1.0,0.0,0.8233208050811988,2.6433781357110845E-4,0.0,15625.0,31250.0,43,
pentane-condensing,10.0,1.0,15.0,OK,11.693234660430944,5.8466173302154723E-5,0.008381574279880764,0.009193830251704737,0.009255927223613868,0.009190886615905922,1622.865984385768,0.03263179738166518,0.006971128816429871,2.2349276795680836E-4,0.048128784781093344,0.00325100694168525,3.889520883343016E-4,0.048128784781093344,0.006754200394075853,333.25413700587455,1.0,1.0,0.05121329693892356,6.196597804905933E-7,0.0,0.0,15625.0,43,
pentane-condensing,100.0,0.02,15.0,OK,0.24852296446311387,1.2426148223155693E-6,1.6763148559761532E-4,9.732466138295719E-4,0.001154345611683373,0.0011361585585372967,579.2011697813083,0.5531071527100772,0.0,0.0,0.8277605252197981,0.18607719285167099,0.16739019935213748,0.18607719285167099,0.18607719285167107,300.0,1.0,0.0,0.8547822386112252,9.502096565402724E-4,0.0,0.0,31250.0,44,
pentane-condensing,100.0,1.0,15.0,OK,116.93234660430944,5.846617330215472E-4,0.008381574279880764,0.014069253154726296,0.018538580933046486,0.012208078893560034,8088.671908063353,0.5376438333421505,3.870140703568199E-5,1.5783039318831418E-4,0.38348056219191484,0.12172100885389674,0.11193481938732908,0.12172100885389674,0.317666313141775,308.8164441146786,1.0,0.0,0.4503807694232227,3.0491020578422267E-5,2.0047863433504985E-16,0.0,31250.0,43,
crude-cooling,10.0,0.02,15.0,OK,0.0796315210043294,3.98157605021647E-7,8.607932458496836E-4,1.1774432507956014E-4,1.3941796319602137E-4,1.1512029929574422E-4,58.88236329713506,0.22296836067200024,1.206715722625678E-16,0.0,6.310694544911701,0.18407373860112822,0.02228579408852922,0.18407373860112822,0.18407373860112825,300.0,0.2346583425845361,0.0,5.174188571691996,1.1872450710583047E-4,0.0,0.0,31250.0,43,
