# Shen T., Gao T., Lin W., Gu A. (2012). Determination of CO2 Solubility in Saturated Liquid CH4 + N2 and CH4 + C2H6 Mixtures
# above Atmospheric Pressure. J. Chem. Eng. Data 57(8), 2296-2303. DOI 10.1021/je3002859 (paywalled; not read).
# SLVE: liquid CO2 mole fraction and pressure at solid-liquid-vapour coexistence, static analytic, 112.0 to 169.9 K.
# Sets 1-2: CH4 + CO2, 9 points (x_CO2 0.000213 to 0.02896, 93 to 2315 kPa). Sets 3-4: CH4 + N2 solvent (x_CH4 of the solvent
# 0.9 to 0.98) + CO2, 27 points. Sets 5-6: CH4 + C2H6 solvent + CO2, 27 points. Each point appears twice (pressure row and
# composition row), both keyed by T and the solvent fraction.
# Holdout role: P5/G5 liquidus (CO2 solubility in liquid CH4) far below the CO2 triple point.
# Source: NIST TRC ThermoML Archive (IUPAC ThermoML), https://trc.nist.gov/ThermoML/10.1021/je3002859.xml, retrieved 2026-09-25;
# archive DOI 10.18434/mds2-2422. TRC terms: no warranty by the publisher, editors or NIST/TRC; TRC requests that works
# using ThermoML Archive data cite them. The XML is TRC's compilation of the paper's tables, not the paper itself.
# Flattened with thermoml_to_tsv.py (this folder): one row per property value, digits exactly as in the XML.
# U95 = nCombExpandUncertValue, expanded uncertainty at 95 % assessed by the TRC data-file compiler (not the authors' own
# statement unless the paper gives the same number). Labels abbreviated: fluid/liquid/gas/crystal, CO2/CH4/N2/C2H6.
# Transcribed 2026-09-25, batch 2026-09-24-coolprop-low-temperature.
# XML file: thermoml/shen-2012-jced-57-2296-je3002859.xml (sha256 ffb9840ad4a7c7817aa567d4a34ab1efdbb544c48e829549a3417997eac08cc8)
set	system	phases	property	method	value	U95	Temperature, K@liquid	Solvent: Mole fraction[CH4]@liquid
5	CH4 + C2H6 + CO2	liquid | crystal[CO2] | gas	Vapor or sublimation pressure, kPa @liquid	Closed cell (Static) method	342	15	129.7	0.98
5	CH4 + C2H6 + CO2	liquid | crystal[CO2] | gas	Vapor or sublimation pressure, kPa @liquid	Closed cell (Static) method	437	15	135.2	0.9
5	CH4 + C2H6 + CO2	liquid | crystal[CO2] | gas	Vapor or sublimation pressure, kPa @liquid	Closed cell (Static) method	459	15	135.2	0.95
5	CH4 + C2H6 + CO2	liquid | crystal[CO2] | gas	Vapor or sublimation pressure, kPa @liquid	Closed cell (Static) method	473	15	135.2	0.98
5	CH4 + C2H6 + CO2	liquid | crystal[CO2] | gas	Vapor or sublimation pressure, kPa @liquid	Closed cell (Static) method	548	16	139.4	0.9
5	CH4 + C2H6 + CO2	liquid | crystal[CO2] | gas	Vapor or sublimation pressure, kPa @liquid	Closed cell (Static) method	578	16	139.4	0.95
5	CH4 + C2H6 + CO2	liquid | crystal[CO2] | gas	Vapor or sublimation pressure, kPa @liquid	Closed cell (Static) method	590	16	139.4	0.98
5	CH4 + C2H6 + CO2	liquid | crystal[CO2] | gas	Vapor or sublimation pressure, kPa @liquid	Closed cell (Static) method	708	16	144.5	0.9
5	CH4 + C2H6 + CO2	liquid | crystal[CO2] | gas	Vapor or sublimation pressure, kPa @liquid	Closed cell (Static) method	745	16	144.5	0.95
5	CH4 + C2H6 + CO2	liquid | crystal[CO2] | gas	Vapor or sublimation pressure, kPa @liquid	Closed cell (Static) method	770	17	144.5	0.98
5	CH4 + C2H6 + CO2	liquid | crystal[CO2] | gas	Vapor or sublimation pressure, kPa @liquid	Closed cell (Static) method	930	17	150.4	0.9
5	CH4 + C2H6 + CO2	liquid | crystal[CO2] | gas	Vapor or sublimation pressure, kPa @liquid	Closed cell (Static) method	982	18	150.4	0.95
5	CH4 + C2H6 + CO2	liquid | crystal[CO2] | gas	Vapor or sublimation pressure, kPa @liquid	Closed cell (Static) method	1012	18	150.4	0.98
5	CH4 + C2H6 + CO2	liquid | crystal[CO2] | gas	Vapor or sublimation pressure, kPa @liquid	Closed cell (Static) method	1488	19	162	0.9
5	CH4 + C2H6 + CO2	liquid | crystal[CO2] | gas	Vapor or sublimation pressure, kPa @liquid	Closed cell (Static) method	1588	20	162	0.95
5	CH4 + C2H6 + CO2	liquid | crystal[CO2] | gas	Vapor or sublimation pressure, kPa @liquid	Closed cell (Static) method	1632	20	162	0.98
5	CH4 + C2H6 + CO2	liquid | crystal[CO2] | gas	Vapor or sublimation pressure, kPa @liquid	Closed cell (Static) method	2006	21	169.9	0.9
5	CH4 + C2H6 + CO2	liquid | crystal[CO2] | gas	Vapor or sublimation pressure, kPa @liquid	Closed cell (Static) method	2155	22	169.9	0.95
5	CH4 + C2H6 + CO2	liquid | crystal[CO2] | gas	Vapor or sublimation pressure, kPa @liquid	Closed cell (Static) method	2228	23	169.9	0.98
6	CH4 + C2H6 + CO2	liquid | gas | crystal[CO2]	Mole fraction [CO2] @liquid		0.000624	2.7e-05	120	0.9
6	CH4 + C2H6 + CO2	liquid | gas | crystal[CO2]	Mole fraction [CO2] @liquid		0.000601	2.7e-05	120	0.95
6	CH4 + C2H6 + CO2	liquid | gas | crystal[CO2]	Mole fraction [CO2] @liquid		0.000577	2.3e-05	120	0.98
6	CH4 + C2H6 + CO2	liquid | gas | crystal[CO2]	Mole fraction [CO2] @liquid		0.000956	3.8e-05	124	0.9
6	CH4 + C2H6 + CO2	liquid | gas | crystal[CO2]	Mole fraction [CO2] @liquid		0.000945	3.8e-05	124	0.95
6	CH4 + C2H6 + CO2	liquid | gas | crystal[CO2]	Mole fraction [CO2] @liquid		0.000821	3.5e-05	124	0.98
6	CH4 + C2H6 + CO2	liquid | gas | crystal[CO2]	Mole fraction [CO2] @liquid		0.001587	5.1e-05	129.7	0.9
6	CH4 + C2H6 + CO2	liquid | gas | crystal[CO2]	Mole fraction [CO2] @liquid		0.001566	4.9e-05	129.7	0.95
6	CH4 + C2H6 + CO2	liquid | gas | crystal[CO2]	Mole fraction [CO2] @liquid		0.001548	5e-05	129.7	0.98
6	CH4 + C2H6 + CO2	liquid | gas | crystal[CO2]	Mole fraction [CO2] @liquid		0.002734	8.3e-05	135.2	0.9
6	CH4 + C2H6 + CO2	liquid | gas | crystal[CO2]	Mole fraction [CO2] @liquid		0.002668	8.1e-05	135.2	0.95
6	CH4 + C2H6 + CO2	liquid | gas | crystal[CO2]	Mole fraction [CO2] @liquid		0.00263	8e-05	135.2	0.98
6	CH4 + C2H6 + CO2	liquid | gas | crystal[CO2]	Mole fraction [CO2] @liquid		0.003946	0.000124	139.4	0.9
6	CH4 + C2H6 + CO2	liquid | gas | crystal[CO2]	Mole fraction [CO2] @liquid		0.003885	0.000121	139.4	0.95
6	CH4 + C2H6 + CO2	liquid | gas | crystal[CO2]	Mole fraction [CO2] @liquid		0.003842	0.000116	139.4	0.98
6	CH4 + C2H6 + CO2	liquid | gas | crystal[CO2]	Mole fraction [CO2] @liquid		0.006234	0.000179	144.5	0.9
6	CH4 + C2H6 + CO2	liquid | gas | crystal[CO2]	Mole fraction [CO2] @liquid		0.006037	0.00017	144.5	0.95
6	CH4 + C2H6 + CO2	liquid | gas | crystal[CO2]	Mole fraction [CO2] @liquid		0.005743	0.000163	144.5	0.98
6	CH4 + C2H6 + CO2	liquid | gas | crystal[CO2]	Mole fraction [CO2] @liquid		0.009225	0.000275	150.4	0.9
6	CH4 + C2H6 + CO2	liquid | gas | crystal[CO2]	Mole fraction [CO2] @liquid		0.008727	0.000267	150.4	0.95
6	CH4 + C2H6 + CO2	liquid | gas | crystal[CO2]	Mole fraction [CO2] @liquid		0.008544	0.000258	150.4	0.98
6	CH4 + C2H6 + CO2	liquid | gas | crystal[CO2]	Mole fraction [CO2] @liquid		0.01975	0.000527	162	0.9
6	CH4 + C2H6 + CO2	liquid | gas | crystal[CO2]	Mole fraction [CO2] @liquid		0.01933	0.000514	162	0.95
6	CH4 + C2H6 + CO2	liquid | gas | crystal[CO2]	Mole fraction [CO2] @liquid		0.01864	0.000494	162	0.98
6	CH4 + C2H6 + CO2	liquid | gas | crystal[CO2]	Mole fraction [CO2] @liquid		0.03311	0.000851	169.9	0.9
6	CH4 + C2H6 + CO2	liquid | gas | crystal[CO2]	Mole fraction [CO2] @liquid		0.03192	0.000812	169.9	0.95
6	CH4 + C2H6 + CO2	liquid | gas | crystal[CO2]	Mole fraction [CO2] @liquid		0.03026	0.000771	169.9	0.98
