# Souza L.F.S., Al Ghafri S.Z.S., Fandino O., Trusler J.P.M. (2020). Vapor-liquid equilibria, solid-vapor-liquid equilibria
# and H2S partition coefficient in (CO2 + CH4) at temperatures between (203.96 and 303.15) K at pressures up to 9 MPa.
# Fluid Phase Equilib. 522, 112762. DOI 10.1016/j.fluid.2020.112762 (paywalled; not read).
# Set 4: SVLE (three-phase) pressures of CO2 + CH4, 7 points, 203.96 to 215.79 K, 964 to 4858 kPa, crystal of unknown type
# per TRC. Sets 1-3: pure CO2 vapour pressure (7) and CO2 + CH4 VLE (83 p-x and 83 y points, 218.124 to 303.166 K), kept as
# context; they involve no solid.
# Holdout role: P5 three-phase line of CO2 + CH4 at the CO2-rich end (G5 SLV consistency next to the triple point).
# Source: NIST TRC ThermoML Archive (IUPAC ThermoML), https://trc.nist.gov/ThermoML/10.1016/j.fluid.2020.112762.xml, retrieved 2026-09-25;
# archive DOI 10.18434/mds2-2422. TRC terms: no warranty by the publisher, editors or NIST/TRC; TRC requests that works
# using ThermoML Archive data cite them. The XML is TRC's compilation of the paper's tables, not the paper itself.
# Flattened with thermoml_to_tsv.py (this folder): one row per property value, digits exactly as in the XML.
# U95 = nCombExpandUncertValue, expanded uncertainty at 95 % assessed by the TRC data-file compiler (not the authors' own
# statement unless the paper gives the same number). Labels abbreviated: fluid/liquid/gas/crystal, CO2/CH4/N2/C2H6.
# Transcribed 2026-09-25, batch 2026-09-24-coolprop-low-temperature.
# XML file: thermoml/souza-2020-fpe-522-112762.xml (sha256 92157292381b190a8eeb25d9f8ad0f7bbf8fc041f06de03f2497df3e077216b2)
set	system	phases	property	method	value	U95	Temperature, K@liquid	Mole fraction[CH4]@liquid	Temperature, K@gas
2	CO2 + CH4	liquid | gas	Vapor or sublimation pressure, kPa @liquid	Closed cell (Static) method	4144.9	41.4	258.151	0.0769	
2	CO2 + CH4	liquid | gas	Vapor or sublimation pressure, kPa @liquid	Closed cell (Static) method	4948.8	47.9	258.149	0.1161	
2	CO2 + CH4	liquid | gas	Vapor or sublimation pressure, kPa @liquid	Closed cell (Static) method	5764.1	58.8	258.148	0.1613	
2	CO2 + CH4	liquid | gas	Vapor or sublimation pressure, kPa @liquid	Closed cell (Static) method	6246.6	58.6	258.153	0.1914	
2	CO2 + CH4	liquid | gas	Vapor or sublimation pressure, kPa @liquid	Closed cell (Static) method	6741	59.5	258.154	0.224	
2	CO2 + CH4	liquid | gas	Vapor or sublimation pressure, kPa @liquid	Closed cell (Static) method	7212.5	56.9	258.158	0.2597	
2	CO2 + CH4	liquid | gas	Vapor or sublimation pressure, kPa @liquid	Closed cell (Static) method	7549.8	56.7	258.152	0.2922	
2	CO2 + CH4	liquid | gas	Vapor or sublimation pressure, kPa @liquid	Closed cell (Static) method	7840	48	258.152	0.3207	
2	CO2 + CH4	liquid | gas	Vapor or sublimation pressure, kPa @liquid	Closed cell (Static) method	8025.3	42	258.157	0.3511	
2	CO2 + CH4	liquid | gas	Vapor or sublimation pressure, kPa @liquid	Closed cell (Static) method	3484	20.6	273.154	0	
2	CO2 + CH4	liquid | gas	Vapor or sublimation pressure, kPa @liquid	Closed cell (Static) method	3633.8	20.8	273.145	0.0056	
2	CO2 + CH4	liquid | gas	Vapor or sublimation pressure, kPa @liquid	Closed cell (Static) method	4425.5	29.1	273.15	0.0361	
2	CO2 + CH4	liquid | gas	Vapor or sublimation pressure, kPa @liquid	Closed cell (Static) method	5383	44.8	273.146	0.0769	
2	CO2 + CH4	liquid | gas	Vapor or sublimation pressure, kPa @liquid	Closed cell (Static) method	5870.1	49.4	273.143	0.0992	
2	CO2 + CH4	liquid | gas	Vapor or sublimation pressure, kPa @liquid	Closed cell (Static) method	6375.3	51.4	273.145	0.1245	
2	CO2 + CH4	liquid | gas	Vapor or sublimation pressure, kPa @liquid	Closed cell (Static) method	6935.1	69.3	273.145	0.1554	
