fluid,L_m,v0_m_s,U_W_m2K,nine_error,seventeen_error
methane-heating,50.0,3.0,15.0,2.6201344363697857E-4,9.21672733755854E-5
methane-heating,50.0,3.0,60.0,6.057959376893323E-10,3.0542802326875703E-10
methane-heating,150.0,0.002,2.0,0.0,0.0
methane-heating,150.0,0.002,15.0,0.0,0.0
methane-heating,150.0,0.002,60.0,0.0,0.0
methane-heating,150.0,0.02,2.0,0.0,0.0
methane-heating,150.0,0.02,15.0,0.0,0.0
methane-heating,150.0,0.02,60.0,0.0,0.0
methane-heating,150.0,0.2,2.0,0.0,0.0
methane-heating,150.0,0.2,15.0,0.0,0.0
methane-heating,150.0,0.2,60.0,0.0,0.0
methane-heating,150.0,1.0,2.0,1.250629216602582E-4,4.999499523509627E-5
methane-heating,150.0,1.0,15.0,0.0,0.0
methane-heating,150.0,1.0,60.0,0.0,0.0
methane-heating,150.0,3.0,2.0,3.896672382618268E-4,9.66648444874153E-5
methane-heating,150.0,3.0,15.0,6.467780170410132E-8,3.1483424258155255E-8
methane-heating,150.0,3.0,60.0,0.0,0.0
pentane-liquid,1.0,0.002,2.0,1.3377346334121726E-4,3.955423538470264E-5
pentane-liquid,1.0,0.002,15.0,1.4586102888255396E-4,3.56410227434901E-5
pentane-liquid,1.0,0.002,60.0,1.3228719596828669E-4,3.342414536495814E-5
pentane-liquid,1.0,0.02,2.0,1.8326754786834996E-5,8.88645250366505E-6
pentane-liquid,1.0,0.02,15.0,1.101860056205128E-4,3.986488487710223E-5
pentane-liquid,1.0,0.02,60.0,1.295374493544592E-4,3.509880826216308E-5
pentane-liquid,1.0,0.2,2.0,1.8640037902988928E-6,9.19089648301984E-7
pentane-liquid,1.0,0.2,15.0,1.3846715822778466E-5,6.764388914916344E-6
pentane-liquid,1.0,0.2,60.0,5.1635013500909195E-5,2.336824514188579E-5
pentane-liquid,1.0,1.0,2.0,3.7283417662670977E-7,1.838344772450967E-7
pentane-liquid,1.0,1.0,15.0,2.7958526260214952E-6,1.378560129400488E-6
pentane-liquid,1.0,1.0,60.0,1.1119087660229009E-5,5.452521511317514E-6
pentane-liquid,1.0,3.0,2.0,1.2427688312699646E-7,6.126881955687798E-8
pentane-liquid,1.0,3.0,15.0,9.320463274444036E-7,4.595671358795622E-7
pentane-liquid,1.0,3.0,60.0,3.7276038942620504E-6,1.8379818172410254E-6
pentane-liquid,10.0,0.002,2.0,1.4190179608965437E-4,3.369371302476949E-5
pentane-liquid,10.0,0.002,15.0,6.171041998669095E-5,2.3057026810342876E-5
pentane-liquid,10.0,0.002,60.0,9.173146403593374E-12,4.226267367095012E-12
pentane-liquid,10.0,0.02,2.0,1.3317602431146434E-4,3.966372096378871E-5
pentane-liquid,10.0,0.02,15.0,1.4654487471023813E-4,3.463845848981481E-5
pentane-liquid,10.0,0.02,60.0,1.3108909995533048E-4,3.323696031953202E-5
pentane-liquid,10.0,0.2,2.0,1.8327660847235213E-5,8.886878423403504E-6
pentane-liquid,10.0,0.2,15.0,1.1022551251423776E-4,3.98695227760328E-5
pentane-liquid,10.0,0.2,60.0,1.295942033137549E-4,3.5157126842372396E-5
pentane-liquid,10.0,1.0,2.0,3.7276147581877187E-6,1.8379875874960907E-6
pentane-liquid,10.0,1.0,15.0,2.7080688919555204E-5,1.2927287418695984E-5
pentane-liquid,10.0,1.0,60.0,9.315938326534373E-5,3.680473394564311E-5
pentane-liquid,10.0,3.0,2.0,1.2427063215907368E-6,6.127455931199078E-7
pentane-liquid,10.0,3.0,15.0,9.291286196882484E-6,4.568699376034816E-6
pentane-liquid,10.0,3.0,60.0,3.554525460641778E-5,1.6684221858677193E-5
pentane-liquid,50.0,0.002,2.0,1.4858918537940838E-4,3.4604879144416584E-5
pentane-liquid,50.0,0.002,15.0,3.181456746630412E-14,1.464480089718761E-14
pentane-liquid,50.0,0.002,60.0,0.0,0.0
pentane-liquid,50.0,0.02,2.0,1.459359186567607E-4,3.62269601994385E-5
pentane-liquid,50.0,0.02,15.0,1.2743611972245635E-4,3.24758306042019E-5
pentane-liquid,50.0,0.02,60.0,8.7538689362905E-6,3.7504227058376497E-6
pentane-liquid,50.0,0.2,2.0,8.04391082588664E-5,3.342014692316939E-5
pentane-liquid,50.0,0.2,15.0,1.4261514134317565E-4,3.5297207003742426E-5
pentane-liquid,50.0,0.2,60.0,1.3921010231775772E-4,3.320961505377395E-5
pentane-liquid,50.0,1.0,2.0,1.8326975427691544E-5,8.886556259000075E-6
pentane-liquid,50.0,1.0,15.0,1.102028821104186E-4,3.986686763533308E-5
pentane-liquid,50.0,1.0,60.0,1.2957377640950617E-4,3.51367436519474E-5
pentane-liquid,150.0,0.002,2.0,5.294148576237929E-7,2.3748510866354804E-7
pentane-liquid,150.0,0.002,15.0,0.0,0.0
