fluid,L_m,v0_m_s,U_W_m2K,nine_error,seventeen_error
pentane-liquid,150.0,0.002,60.0,0.0,0.0
pentane-liquid,150.0,0.02,2.0,1.3710629960056022E-4,3.3833237102120557E-5
pentane-liquid,150.0,0.02,15.0,4.134568779085862E-5,1.6258367113336166E-5
pentane-liquid,150.0,0.02,60.0,3.0596938441316694E-12,1.4095493388096442E-12
pentane-liquid,150.0,0.2,2.0,1.5945815633025778E-4,3.3062939167217116E-5
pentane-liquid,150.0,0.2,15.0,1.4409316413602124E-4,3.450766962903287E-5
pentane-liquid,150.0,0.2,60.0,1.2703483891672408E-4,3.374949888149937E-5
pentane-liquid,150.0,1.0,2.0,5.162965114115157E-5,2.336612942797101E-5
pentane-liquid,150.0,1.0,15.0,1.5142168465060577E-4,3.740286504763038E-5
pentane-liquid,150.0,1.0,60.0,1.324232747560807E-4,3.4068454780427116E-5
pentane-condensing,1.0,0.002,2.0,0.138236509200167,0.06888100018037185
pentane-condensing,1.0,0.002,15.0,3.237952756410157E-6,1.921470401641008E-6
pentane-condensing,1.0,0.002,60.0,0.0,0.0
pentane-condensing,1.0,0.02,2.0,3.005177679192095E-4,7.88919162856612E-5
pentane-condensing,1.0,0.02,15.0,0.14510354481557308,0.07102950017784929
pentane-condensing,1.0,0.02,60.0,0.005132659623966589,0.0031014594976575124
pentane-condensing,1.0,0.2,2.0,3.3342009089305016E-4,6.880573114022801E-5
pentane-condensing,1.0,0.2,15.0,3.271155163073674E-4,7.819822134367758E-5
pentane-condensing,1.0,0.2,60.0,0.11352363262493444,0.05202987742170142
pentane-condensing,1.0,1.0,2.0,1.0938985209710424E-4,4.8854057580715224E-5
pentane-condensing,1.0,1.0,15.0,3.1087341419419194E-4,7.726817110035866E-5
pentane-condensing,1.0,1.0,60.0,2.939132482202171E-4,7.632637296336631E-5
pentane-condensing,1.0,3.0,2.0,3.888751409933616E-5,1.864572711344073E-5
pentane-condensing,1.0,3.0,15.0,2.3269977395242217E-4,8.234258130811988E-5
pentane-condensing,1.0,3.0,60.0,2.735181329366477E-4,7.478991369806253E-5
pentane-condensing,10.0,0.002,2.0,8.134810863825274E-8,4.782050955708714E-8
pentane-condensing,10.0,0.002,15.0,0.0,0.0
pentane-condensing,10.0,0.002,60.0,0.0,0.0
pentane-condensing,10.0,0.02,2.0,0.13823650920016625,0.06888100018037187
pentane-condensing,10.0,0.02,15.0,3.2065665200318684E-6,1.9027957053657E-6
pentane-condensing,10.0,0.02,60.0,0.0,0.0
pentane-condensing,10.0,0.2,2.0,3.225116736105099E-4,7.719571270567725E-5
pentane-condensing,10.0,0.2,15.0,0.13674046498403014,0.06826437716502562
pentane-condensing,10.0,0.2,60.0,3.114360756299226E-4,1.8716041654183788E-4
pentane-condensing,10.0,1.0,2.0,2.7341578252195885E-4,7.473201467663125E-5
pentane-condensing,10.0,1.0,15.0,0.01783223801086162,0.0025529578687041466
pentane-condensing,10.0,1.0,60.0,0.14404577423962095,0.07095862540957171
pentane-condensing,10.0,3.0,2.0,2.805656935029815E-4,8.08221864348956E-5
pentane-condensing,10.0,3.0,15.0,3.2364220488593804E-4,7.735720152685201E-5
pentane-condensing,10.0,3.0,60.0,0.06493044847296547,0.026331734593068132
pentane-condensing,50.0,0.002,2.0,0.0,0.0
pentane-condensing,50.0,0.002,15.0,0.0,0.0
pentane-condensing,50.0,0.002,60.0,0.0,0.0
pentane-condensing,50.0,0.02,2.0,1.6158945340406452E-4,9.692821249252454E-5
pentane-condensing,50.0,0.02,15.0,0.0,0.0
pentane-condensing,50.0,0.02,60.0,0.0,0.0
pentane-condensing,50.0,0.2,2.0,0.1444113548148439,0.07005589003499328
pentane-condensing,50.0,0.2,15.0,4.900592638898252E-5,2.9297601633724073E-5
pentane-condensing,50.0,0.2,60.0,4.775438991913229E-14,2.7498671830040185E-14
pentane-condensing,50.0,1.0,2.0,3.2443609002130936E-4,7.703149640863498E-5
pentane-condensing,50.0,1.0,15.0,0.13542241370761923,0.0677088254383223
pentane-condensing,50.0,1.0,60.0,2.5280178673322667E-4,1.5183356662801012E-4
pentane-condensing,50.0,3.0,2.0,3.070387197984983E-4,7.673308653356074E-5
pentane-condensing,50.0,3.0,15.0,0.09585348728957117,0.04255314982965563
pentane-condensing,50.0,3.0,60.0,0.10219930956045051,0.056748126992342225
pentane-condensing,150.0,0.002,2.0,0.0,0.0
pentane-condensing,150.0,0.002,15.0,0.0,0.0
pentane-condensing,150.0,0.002,60.0,0.0,0.0
pentane-condensing,150.0,0.02,2.0,4.206983074377343E-11,2.4351011109453476E-11
pentane-condensing,150.0,0.02,15.0,0.0,0.0
pentane-condensing,150.0,0.02,60.0,0.0,0.0
pentane-condensing,150.0,0.2,2.0,0.022355240642582958,0.013416527905332362
pentane-condensing,150.0,0.2,15.0,2.099789319930361E-11,1.214181437461002E-11
pentane-condensing,150.0,0.2,60.0,0.0,0.0
pentane-condensing,150.0,1.0,2.0,0.11525382885500611,0.05297091195119767
pentane-condensing,150.0,1.0,15.0,0.0019432394012551747,0.0011732029343029416
pentane-condensing,150.0,1.0,60.0,6.411907913304131E-10,3.729032186634914E-10
pentane-condensing,150.0,3.0,2.0,3.25611796439987E-4,7.703628344023828E-5
pentane-condensing,150.0,3.0,15.0,0.13452881635822864,0.06732678036073825
pentane-condensing,150.0,3.0,60.0,1.9484624560470935E-4,1.169389264721195E-4
crude-cooling,1.0,0.002,2.0,3.94618421012872E-6,1.6946335408394176E-6
crude-cooling,1.0,0.002,15.0,0.0,0.0
crude-cooling,1.0,0.002,60.0,0.0,0.0
crude-cooling,1.0,0.02,2.0,2.493259416766628E-4,6.105884365312289E-5
crude-cooling,1.0,0.02,15.0,9.1608243368896E-4,2.2069354665104268E-4
crude-cooling,1.0,0.02,60.0,0.0,0.0
crude-cooling,1.0,0.2,2.0,6.0324054044372175E-5,2.7247018973884037E-5
crude-cooling,1.0,0.2,15.0,2.5983013840588957E-4,5.3141617944420255E-5
crude-cooling,1.0,0.2,60.0,2.3737560482829035E-4,6.2683498636792E-5
crude-cooling,1.0,1.0,2.0,1.27028371949124E-5,6.054184808957151E-6
crude-cooling,1.0,1.0,15.0,8.73377131117096E-5,3.7904440645656324E-5
crude-cooling,1.0,1.0,60.0,2.416462849495647E-4,5.1971086202943385E-5
crude-cooling,1.0,3.0,2.0,4.242123442942682E-6,2.0239498485362623E-6
crude-cooling,1.0,3.0,15.0,3.118186335813617E-5,1.4595449340991287E-5
crude-cooling,1.0,3.0,60.0,1.122741775976924E-4,4.660939732801433E-5
crude-cooling,10.0,0.002,2.0,0.0,0.0
crude-cooling,10.0,0.002,15.0,0.0,0.0
crude-cooling,10.0,0.002,60.0,0.0,0.0
crude-cooling,10.0,0.02,2.0,3.9461842102451005E-6,1.6946335408626933E-6
crude-cooling,10.0,0.02,15.0,0.0,0.0
crude-cooling,10.0,0.02,60.0,0.0,0.0
crude-cooling,10.0,0.2,2.0,2.554064629618605E-4,6.108372153231734E-5
crude-cooling,10.0,0.2,15.0,4.1745324482770534E-4,1.0841393199164306E-4
crude-cooling,10.0,0.2,60.0,1.0254670038616293E-4,4.086999152551043E-5
crude-cooling,10.0,1.0,2.0,1.1231525506847197E-4,4.662270796629185E-5
crude-cooling,10.0,1.0,15.0,2.157178678317451E-4,5.9301421107448805E-5
crude-cooling,10.0,1.0,60.0,3.659655529315984E-4,7.755336824585676E-5
crude-cooling,10.0,3.0,2.0,4.1119570161207415E-5,1.9029820177339558E-5
crude-cooling,10.0,3.0,15.0,2.2053017496576866E-4,5.966189374537582E-5
crude-cooling,10.0,3.0,60.0,2.5410587411678874E-4,5.8228105725807434E-5
crude-cooling,50.0,0.002,2.0,0.0,0.0
crude-cooling,50.0,0.002,15.0,0.0,0.0
crude-cooling,50.0,0.002,60.0,0.0,0.0
crude-cooling,50.0,0.02,2.0,0.0,0.0
crude-cooling,50.0,0.02,15.0,0.0,0.0
crude-cooling,50.0,0.02,60.0,0.0,0.0
crude-cooling,50.0,0.2,2.0,2.649917469933717E-4,6.852417465505792E-5
crude-cooling,50.0,0.2,15.0,6.1902112600973065E-6,2.6503102143376983E-6
crude-cooling,50.0,0.2,60.0,0.0,0.0
crude-cooling,50.0,1.0,2.0,2.557478723422252E-4,6.105525159606271E-5
crude-cooling,50.0,1.0,15.0,4.1574221357861576E-4,1.0968598554931863E-4
crude-cooling,50.0,1.0,60.0,5.480873611337168E-4,1.4818148751635576E-4
crude-cooling,50.0,3.0,2.0,1.6900979156058901E-4,6.0556290453301135E-5
crude-cooling,50.0,3.0,15.0,2.5972894174310204E-4,6.406794529200634E-5
crude-cooling,50.0,3.0,60.0,8.621785938765122E-4,1.92623020969102E-4
crude-cooling,150.0,0.002,2.0,0.0,0.0
crude-cooling,150.0,0.002,15.0,0.0,0.0
crude-cooling,150.0,0.002,60.0,0.0,0.0
crude-cooling,150.0,0.02,2.0,0.0,0.0
crude-cooling,150.0,0.02,15.0,0.0,0.0
crude-cooling,150.0,0.02,60.0,0.0,0.0
crude-cooling,150.0,0.2,2.0,8.87150282754437E-4,2.1914454416489666E-4
crude-cooling,150.0,0.2,15.0,0.0,0.0
crude-cooling,150.0,0.2,60.0,0.0,0.0
crude-cooling,150.0,1.0,2.0,2.3681448795792538E-4,6.228139349786645E-5
crude-cooling,150.0,1.0,15.0,7.545324915917879E-4,1.7713262304368054E-4
crude-cooling,150.0,1.0,60.0,2.7201233583572948E-5,1.1411190809886056E-5
crude-cooling,150.0,3.0,2.0,2.559525249681468E-4,6.103618254772653E-5
crude-cooling,150.0,3.0,15.0,4.148476380219541E-4,1.0835812370098498E-4
crude-cooling,150.0,3.0,60.0,5.567658951843039E-4,1.4684218829239947E-4
heavy-liquid,1.0,0.002,2.0,3.2938566822672836E-4,1.183514016533564E-4
heavy-liquid,1.0,0.002,15.0,4.369871695562614E-4,1.0575288095677373E-4
heavy-liquid,1.0,0.002,60.0,8.422374339679556E-6,3.6226421643372376E-6
heavy-liquid,1.0,0.02,2.0,4.059993554326803E-5,1.974302721592504E-5
heavy-liquid,1.0,0.02,15.0,2.5918369495394646E-4,1.0457029105841292E-4
heavy-liquid,1.0,0.02,60.0,4.6071972541939367E-4,1.1244602889609527E-4
heavy-liquid,1.0,0.2,2.0,4.101845407148339E-6,2.0125222194139336E-6
heavy-liquid,1.0,0.2,15.0,3.062187427142729E-5,1.4961341346981044E-5
heavy-liquid,1.0,0.2,60.0,1.1654412385463877E-4,5.403093295679797E-5
heavy-liquid,1.0,1.0,2.0,8.204264285532584E-7,4.0253154210943727E-7
heavy-liquid,1.0,1.0,15.0,6.152385082520081E-6,3.018597363953706E-6
heavy-liquid,1.0,1.0,60.0,2.456833059941954E-5,1.2039011558204978E-5
heavy-liquid,1.0,3.0,2.0,2.734784037586701E-7,1.3418116550202266E-7
heavy-liquid,1.0,3.0,15.0,2.050999689217884E-6,1.0062980294831503E-6
heavy-liquid,1.0,3.0,60.0,8.202686058187798E-6,4.024556836163177E-6
heavy-liquid,10.0,0.002,2.0,4.364589731881063E-4,1.1041565286032287E-4
heavy-liquid,10.0,0.002,15.0,8.505066139399191E-14,3.328069358895335E-14
heavy-liquid,10.0,0.002,60.0,0.0,0.0
heavy-liquid,10.0,0.02,2.0,3.227924080338013E-4,1.1753996748917173E-4
heavy-liquid,10.0,0.02,15.0,4.120245981905582E-4,1.0394191363681417E-4
heavy-liquid,10.0,0.02,60.0,4.568906195761928E-4,1.4622305468039046E-4
heavy-liquid,10.0,0.2,2.0,4.0636248936028124E-5,1.976034315198688E-5
heavy-liquid,10.0,0.2,15.0,2.6059240811490285E-4,1.0494131988219976E-4
heavy-liquid,10.0,0.2,60.0,4.536441952290696E-4,1.1179235208003128E-4
heavy-liquid,10.0,1.0,2.0,8.202761314838662E-6,4.024593800662849E-6
heavy-liquid,10.0,1.0,15.0,6.0297095699808784E-5,2.9002850644787585E-5
heavy-liquid,10.0,1.0,60.0,2.1652841123801663E-4,9.192386350093272E-5
heavy-liquid,10.0,3.0,2.0,2.734617526108738E-6,1.3417072929063333E-6
heavy-liquid,10.0,3.0,15.0,2.049934299471846E-5,1.0057403925588358E-5
heavy-liquid,10.0,3.0,60.0,7.949023460559439E-5,3.778983129505086E-5
heavy-liquid,50.0,0.002,2.0,2.6326970967569645E-9,1.1121554233153334E-9
heavy-liquid,50.0,0.002,15.0,0.0,0.0
heavy-liquid,50.0,0.002,60.0,0.0,0.0
heavy-liquid,50.0,0.02,2.0,4.196967111290329E-4,1.0964747937352413E-4
heavy-liquid,50.0,0.02,15.0,7.857027152063208E-5,3.237029425933823E-5
heavy-liquid,50.0,0.02,60.0,0.0,0.0
heavy-liquid,50.0,0.2,2.0,1.8510260336852835E-4,8.110256277528858E-5
heavy-liquid,50.0,0.2,15.0,3.880233764523035E-4,1.0183532550225605E-4
heavy-liquid,50.0,0.2,60.0,4.5884502559107433E-4,1.1262410437951344E-4
heavy-liquid,50.0,1.0,2.0,4.063179999616847E-5,1.9758221753465365E-5
heavy-liquid,50.0,1.0,15.0,2.6041614429621833E-4,1.0489507881825576E-4
heavy-liquid,50.0,1.0,60.0,4.546676501265428E-4,1.119102207553738E-4
heavy-liquid,150.0,0.002,2.0,0.0,0.0
heavy-liquid,150.0,0.002,15.0,0.0,0.0
heavy-liquid,150.0,0.002,60.0,0.0,0.0
heavy-liquid,150.0,0.02,2.0,4.608746101062055E-4,1.1014396859017087E-4
heavy-liquid,150.0,0.02,15.0,2.1146176300886027E-13,8.342634822668904E-14
heavy-liquid,150.0,0.02,60.0,0.0,0.0
heavy-liquid,150.0,0.2,2.0,4.204977169125369E-4,1.1122961239388077E-4
heavy-liquid,150.0,0.2,15.0,4.2054962141502554E-4,1.0594501507690854E-4
heavy-liquid,150.0,0.2,60.0,4.37513872948732E-4,1.2462723868385926E-4
