| case @ t | run91a P1, P2 (Pa) | run91b P1, P2 (Pa) | run91c P1, P2 (Pa) | run91d P1, P2 (Pa) | run91e P1, P2 (Pa) | run91b - run91a (Pa) | run91c - run91a (Pa) | run91d - run91a (Pa) | run91e - run91a (Pa) |
| 0.02:5:false@10.0 | 101600.09, 101472.47 | 102391.73, 102024.36 | 102325.50, 101981.02 | 102359.64, 102001.87 | 102236.44, 101934.12 | 791.65, 551.89 | 725.41, 508.55 | 759.55, 529.40 | 636.35, 461.65 |
| 0.02:5:false@13.0 | 101817.22, 101383.04 | 101845.62, 101387.26 | 101861.30, 101392.23 | 101844.05, 101387.01 | 101858.95, 101391.34 | 28.40, 4.22 | 44.08, 9.19 | 26.83, 3.97 | 41.73, 8.30 |
| 0.02:5:false@16.0 | 101325.00, 101325.00 | 101325.02, 101325.02 | 101325.43, 101325.25 | 101325.02, 101325.02 | 101332.18, 101326.73 | 0.02, 0.02 | 0.43, 0.25 | 0.02, 0.02 | 7.18, 1.73 |
| 0.02:5:true@1.0 | 144086.86, 94219.20 | 144189.30, 94213.74 | - | 144107.12, 94218.11 | - | 102.44, -5.46 | - | 20.26, -1.09 | - |
| 0.02:5:true@5.0 | 122621.74, 101663.89 | 123061.73, 101645.53 | 123034.33, 101652.44 | 122982.81, 101647.11 | 122928.73, 101654.77 | 439.99, -18.36 | 412.59, -11.45 | 361.06, -16.78 | 306.99, -9.13 |
| 0.02:5:true@10.0 | 101544.07, 101369.29 | 102291.33, 101448.40 | 102231.50, 101443.58 | 102264.16, 101445.59 | 102182.05, 101438.95 | 747.27, 79.11 | 687.44, 74.29 | 720.10, 76.30 | 637.98, 69.66 |
| 0.02:5:true@13.0 | 101816.98, 101383.01 | 101836.28, 101385.53 | 101846.56, 101386.88 | 101835.18, 101385.38 | 101841.31, 101386.20 | 19.29, 2.52 | 29.57, 3.87 | 18.20, 2.37 | 24.33, 3.19 |
| 0.02:5:true@16.0 | 101325.00, 101325.00 | 101325.02, 101325.02 | 101325.40, 101325.24 | 101325.02, 101325.02 | 101331.69, 101326.60 | 0.02, 0.02 | 0.40, 0.24 | 0.02, 0.02 | 6.69, 1.60 |
| 0.02:6:false@1.0 | 144086.86, 143555.81 | 144189.30, 143676.97 | - | 144107.12, 143579.80 | - | 102.44, 121.16 | - | 20.26, 23.99 | - |
| 0.02:6:false@5.0 | 122621.74, 120430.50 | 123061.73, 120939.68 | 123039.78, 120914.30 | 122983.54, 120849.17 | 122926.35, 120783.07 | 439.99, 509.18 | 418.03, 483.80 | 361.80, 418.67 | 304.60, 352.57 |
| 0.02:6:false@10.0 | 101540.97, 101389.76 | 102318.96, 101890.81 | 102242.43, 101845.15 | 102287.55, 101862.71 | 102144.84, 101795.53 | 777.99, 501.06 | 701.46, 455.39 | 746.58, 472.95 | 603.87, 405.77 |
| 0.02:6:false@13.0 | 101792.66, 101358.34 | 101813.78, 101360.05 | 101825.44, 101362.32 | 101812.48, 101359.94 | 101821.78, 101361.62 | 21.11, 1.71 | 32.78, 3.98 | 19.81, 1.60 | 29.11, 3.28 |
| 0.02:6:false@16.0 | 101318.68, 101318.68 | 101318.76, 101318.75 | 101318.00, 101317.85 | 101318.76, 101318.75 | 101318.06, 101317.96 | 0.07, 0.07 | -0.68, -0.84 | 0.07, 0.07 | -0.63, -0.72 |
| 0.02:6:true@1.0 | 144086.86, 94218.27 | 144189.30, 94212.90 | - | 144107.12, 94217.19 | - | 102.44, -5.37 | - | 20.26, -1.08 | - |
| 0.02:6:true@5.0 | 122621.74, 101520.55 | 123061.73, 101513.13 | 123034.38, 101517.28 | 122982.82, 101513.83 | 122928.77, 101518.07 | 439.99, -7.42 | 412.64, -3.27 | 361.08, -6.73 | 307.03, -2.48 |
| 0.02:6:true@10.0 | 101513.92, 101343.55 | 102259.17, 101394.97 | 102201.31, 101391.67 | 102232.55, 101393.25 | 102152.96, 101388.65 | 745.25, 51.41 | 687.39, 48.11 | 718.63, 49.69 | 639.04, 45.09 |
| 0.02:6:true@13.0 | 101792.59, 101358.34 | 101809.36, 101359.62 | 101819.22, 101360.38 | 101808.40, 101359.55 | 101814.45, 101360.01 | 16.77, 1.28 | 26.63, 2.04 | 15.81, 1.21 | 21.86, 1.67 |
| 0.02:6:true@16.0 | 101318.87, 101318.87 | 101318.92, 101318.91 | 101318.09, 101317.96 | 101318.92, 101318.91 | 101329.71, 101324.91 | 0.04, 0.04 | -0.78, -0.92 | 0.04, 0.04 | 10.84, 6.04 |
